巨宝	jubao,jb
巨棓	jubang,jb
巨笔	jubi,jb
巨编	jubian,jb
巨变	jubian,jb
巨伯	jubo,jb
巨擘	jubo,jb
巨查	juzha,jz
巨鬯	juchang,jc
巨齿鲨	juchisha,jcs
巨川	juchuan,jc
巨川材	juchuancai,jcc
巨大	juda,jd
巨大地	judade,jdd
巨大影响	judayingxiang,jdyx
巨蛋	judan,jd
巨珰	judang,jd
巨盗	judao,jd
巨德	jude,jd
巨狄	judi,jd
巨典	judian,jd
巨毒	judu,jd
巨牍	judu,jd
巨蠹	judu,jd
巨憝	judui,jd
巨额	jue,je
巨藩	jufan,jf
巨坊	jufang,jf
巨防	jufang,jf
巨费	jufei,jf
巨风	jufeng,jf
巨峰	jufeng,jf
巨夫	jufu,jf
巨幅	jufu,jf
巨富	jufu,jf
巨工	jugong,jg
巨公	jugong,jg
巨功	jugong,jg
巨觥	jugong,jg
巨构	jugou,jg
巨苽	jugu,jg
巨骨	jugu,jg
巨观	juguan,jg
巨海	juhai,jh
巨海扇蛤	juhaishange,jhsg
巨函	juhan,jh
巨豪	juhao,jh
巨壑	juhe,jh
巨亨	juheng,jh
巨猾	juhua,jh
巨患	juhuan,jh
巨会	juhui,jh
巨获	juhuo,jh
巨祸	juhuo,jh
巨镬	juhuo,jh
巨积	juji,jj
巨集	juji,jj
巨楫	juji,jj
巨迹	juji,jj
巨贾	jugu,jg
巨奸	jujian,jj
巨奖	jujiang,jj
巨匠	jujiang,jj
巨狡	jujiao,jj
巨杰	jujie,jj
巨巾	jujin,jj
巨金	jujin,jj
巨浸	jujin,jj
巨屦	ju,j
巨爵	jujue,jj
巨爵座	jujuezuo,jjz
巨槛	jukan,jk
巨口	jukou,jk
巨块	jukuai,jk
巨款	jukuan,jk
巨魁	jukui,jk
巨浪	julang,jl
巨礼	juli,jl
巨力	juli,jl
巨丽	juli,jl
巨量	juliang,jl
巨量转移	juliangzhuanyi,jlzy
巨鳞	julin,jl
巨灵	juling,jl
巨流	juliu,jl
巨龙	julong,jl
巨鹿	julu,jl
巨鹿侯	juluhou,jlh
巨鹿县	juluxian,jlx
巨鏕	julu,jl
巨略	julue,jl
巨轮	julun,jl
巨蟒	jumang,jm
巨髦	jumao,jm
巨美	jumei,jm
巨溟	juming,jm
巨拇	jumu,jm
巨年	junian,jn
巨孽	junie,jn
巨屏	juping,jp
巨璞	jupu,jp
巨器	juqi,jq
巨千	juqian,jq
巨桥	juqiao,jq
巨卿	juqing,jq
巨区	juqu,jq
巨阙	juque,jq
巨雀	juque,jq
巨然	juran,jr
巨人	juren,jr
巨人传	jurenchuan,jrc
巨人长德	jurenchangde,jrcd
巨儒	juru,jr
巨嫂	jusao,js
巨商	jushang,js
巨蛇尾	jushewei,jsw
巨蛇座	jushezuo,jsz
巨什	jushi,js
巨胜	jusheng,js
巨䴓	jushi,js
巨石	jushi,js
巨石阵	jushizhen,jsz
巨石柱群	jushizhuqun,jszq
巨识	jushi,js
巨室	jushi,js
巨噬细胞	jushixibao,jsxb
巨手	jushou,js
巨兽	jushou,js
巨黍	jushu,js
巨搜	jusou,js
巨唐	jutang,jt
巨慝	jute,jt
巨头	jutou,jt
巨橐	jutuo,jt
巨万	juwan,jw
巨望	juwang,jw
巨伟	juwei,jw
巨文	juwen,jw
巨无霸	juwuba,jwb
巨无霸汉堡包指数	juwubahanbaozhishu,jwbhbzs
巨毋	juwu,jw
巨毋霸	juwuba,jwb
巨蜥	juxi,jx
巨细	juxi,jx
巨细胞病毒	juxibaobingdu,jxbbd
巨细胞病毒视网膜炎	juxibaobingdushiwangmoyan,jxbbdswmy
巨细无遗	juxiwuyi,jxwy
巨纤	juxian,jx
巨贤	juxian,jx
巨相	juxiang,jx
巨响	juxiang,jx
巨象	juxiang,jx
巨蟹	juxie,jx
巨蟹座	juxiezuo,jxz
巨舋	juxin,jx
巨星	juxing,jx
巨型	juxing,jx
巨雄	juxiong,jx
巨虚	juxu,jx
巨学鸿生	juxuehongsheng,jxhs
巨牙鲨	juyasha,jys
巨狿	juyan,jy
巨衍	juyan,jy
巨眼	juyan,jy
巨眼人	juyanren,jyr
巨野	juye,jy
巨野县	juyexian,jyx
巨亿	juyi,jy
巨鹢	juyi,jy
巨婴	juying,jy
巨踊	juyong,jy
巨驵	juzang,jz
巨枣	juzao,jz
巨掌	juzhang,jz
巨着	juzhe,jz
巨镇	juzhen,jz
巨跖	juzhi,jz
巨指	juzhi,jz
巨制	juzhi,jz
巨帙	juzhi,jz
巨袟	juzhi,jz
巨著	juzhu,jz
巨壮	juzhuang,jz
巨资	juzi,jz
巨子	juzi,jz
巨族	juzu,jz
巨嘴短翅莺	juzuiduanchiying,jzdcy
巨嘴柳莺	juzuiliuying,jzly
巨嘴鸟	juzuiniao,jzn
巨嘴沙雀	juzuishaque,jzsq
