巾鞴	jinbei,jb
巾车	jinche,jc
巾车之恩	jinchezhien,jcze
巾褚	jinchu,jc
巾额	jine,je
巾拂	jinfu,jf
巾服	jinfu,jf
巾褠	jingou,jg
巾鞲	jingou,jg
巾冠	jinguan,jg
巾盥	jinguan,jg
巾国英雄	jinguoyingxiong,jgyx
巾帼	jinguo,jg
巾帼豪杰	jinguohaojie,jghj
巾帼奇才	jinguoqicai,jgqc
巾帼须眉	jinguoxumei,jgxm
巾帼英雄	jinguoyingxiong,jgyx
巾帼丈夫	jinguozhangfu,jgzf
巾裹	jinguo,jg
巾褐	jinhe,jh
巾环	jinhuan,jh
巾机	jinji,jj
巾笈	jinji,jj
巾几	jinji,jj
巾卷	jinjuan,jj
巾帽	jinmao,jm
巾幂	jinmi,jm
巾帓	jinmo,jm
巾帔	jinpei,jp
巾箧	jinqie,jq
巾帤	jinru,jr
巾箑	jinsha,js
巾帨	jinshui,js
巾笥	jinsi,js
巾袜	jinwa,jw
巾韈	jinwa,jw
巾舞	jinwu,jw
巾舃	jintuo,jt
巾箱	jinxiang,jx
巾箱本	jinxiangben,jxb
巾絮	jinxu,jx
巾衍	jinyan,jy
巾衣	jinyi,jy
巾帻	jinze,jz
巾栉	jinzhi,jz
巾子	jinzi,jz
