帕德嫩神庙	padenenshenmiao,pdnsm
帕蒂尔	padier,pde
帕尔瓦蒂	paerwadi,pewd
帕服	pafu,pf
帕福斯	pafusi,pfs
帕复	pafu,pf
帕腹	pafu,pf
帕格尼尼	pageni,pgn
帕果帕果	paguo,pg
帕金森	pajinsen,pjs
帕金森病	pajinsenbing,pjsb
帕金森症	pajinsenzheng,pjsz
帕拉马里博	palamalibo,plmlb
帕拉塞尔士	palaseershi,plses
帕兰卡	palanka,plk
帕劳	palao,pl
帕累托	paleituo,plt
帕累托法则	paleituofaze,pltfz
帕累托最优	paleituozuiyou,pltzy
帕利基尔	palijier,plje
帕罗	paluo,pl
帕马森	pamasen,pms
帕米尔	pamier,pme
帕米尔高原	pamiergaoyuan,pmegy
帕米尔山脉	pamiershanmai,pmesm
帕内尔	paneier,pne
帕能	paneng,pn
帕尼巴特	panibate,pnbt
帕尼尼	pani,pn
帕皮提	papiti,ppt
帕萨特	pasate,pst
帕首	pashou,ps
帕斯	pasi,ps
帕斯卡	pasika,psk
帕斯卡定律	pasikadinglu,pskdl
帕斯卡尔	pasikaer,pske
帕斯卡六边形	pasikaliubianxing,psklbx
帕斯卡三角形	pasikasanjiaoxing,psksjx
帕塔亚	pataya,pty
帕台农	patainong,ptn
帕台农神庙	patainongshenmiao,ptnsm
帕特里克	patelike,ptlk
帕特里夏	patelixia,ptlx
帕特丽夏	patelixia,ptlx
帕提侬神庙	patinongshenmiao,ptnsm
帕提亚人	patiyaren,ptyr
帕头	patou,pt
帕瓦罗蒂	pawaluodi,pwld
帕西	paxi,px
帕夏	paxia,px
帕子	pazi,pz
