庙碑	miaobei,mb
庙策	miaoce,mc
庙朝	miaochao,mc
庙祠	miaoci,mc
庙殿	miaodian,md
庙攻	miaogong,mg
庙官	miaoguan,mg
庙号	miaohao,mh
庙户	miaohu,mh
庙画	miaohua,mh
庙会	miaohui,mh
庙讳	miaohui,mh
庙见	miaojian,mj
庙口	miaokou,mk
庙廊	miaolang,ml
庙乐	miaole,ml
庙律	miaolu,ml
庙略	miaolue,ml
庙论	miaolun,ml
庙貌	miaomao,mm
庙门	miaomen,mm
庙谟	miaomo,mm
庙谋	miaomou,mm
庙庖	miaopao,mp
庙屏	miaoping,mp
庙器	miaoqi,mq
庙寝	miaoqin,mq
庙瑟音	miaoseyin,msy
庙社	miaoshe,ms
庙牲	miaosheng,ms
庙胜	miaosheng,ms
庙祏	miaoshi,ms
庙食	miaoshi,ms
庙市	miaoshi,ms
庙室	miaoshi,ms
庙祀	miaosi,ms
庙颂	miaosong,ms
庙筭	miaosuan,ms
庙算	miaosuan,ms
庙塔	miaota,mt
庙堂	miaotang,mt
庙堂碑	miaotangbei,mtb
庙堂文学	miaotangwenxue,mtwx
庙堂之器	miaotangzhiqi,mtzq
庙田	miaotian,mt
庙祧	miaotiao,mt
庙廷	miaoting,mt
庙庭	miaoting,mt
庙卫	miaowei,mw
庙幄	miaowo,mw
庙祫	miaoxia,mx
庙象	miaoxiang,mx
庙像	miaoxiang,mx
庙穴	miaoxue,mx
庙学	miaoxue,mx
庙议	miaoyi,my
庙宇	miaoyu,my
庙院	miaoyuan,my
庙战	miaozhan,mz
庙主	miaozhu,mz
庙祝	miaozhu,mz
庙濯	miaozhuo,mz
