座标	zuobiao,zb
座标轴	zuobiaozhou,zbz
座舱	zuocang,zc
座车	zuoche,zc
座船	zuochuan,zc
座次	zuoci,zc
座地式	zuodeshi,zds
座垫	zuodian,zd
座儿	zuoer,ze
座果率	zuoguolu,zgl
座号	zuohao,zh
座机	zuoji,zj
座驾	zuojia,zj
座客	zuoke,zk
座落	zuoluo,zl
座前	zuoqian,zq
座商	zuoshang,zs
座上客	zuoshangke,zsk
座生水母	zuoshengshuimu,zssm
座师	zuoshi,zs
座谈	zuotan,zt
座谈会	zuotanhui,zth
座堂	zuotang,zt
座头	zuotou,zt
座头饭	zuotoufan,ztf
座头鲸	zuotoujing,ztj
座头市	zuotoushi,zts
座位	zuowei,zw
座无虚席	zuowuxuxi,zwxx
座席	zuoxi,zx
座下	zuoxia,zx
座椅	zuoyi,zy
座椅套子	zuoyitaozi,zytz
座右	zuoyou,zy
座右铭	zuoyouming,zym
座隅	zuoyu,zy
座元	zuoyuan,zy
座中铭	zuozhongming,zzm
座钟	zuozhong,zz
座主	zuozhu,zz
座子	zuozi,zz
