彩鳌	caiao,ca
彩蚌	caibang,cb
彩笔	caibi,cb
彩笔生花	caibishenghua,cbsh
彩币	caibi,cb
彩帛	caibo,cb
彩蟾	caichan,cc
彩唱	caichang,cc
彩超	caichao,cc
彩车	caiche,cc
彩乘	caicheng,cc
彩绸	caichou,cc
彩船	caichuan,cc
彩吹	caichui,cc
彩翠	caicui,cc
彩错	caicuo,cc
彩带	caidai,cd
彩旦	caidan,cd
彩弹	caidan,cd
彩蛋	caidan,cd
彩灯	caideng,cd
彩电	caidian,cd
彩电视	caidianshi,cds
彩牃	caidie,cd
彩蝶	caidie,cd
彩段	caiduan,cd
彩幡	caifan,cf
彩旛	caifan,cf
彩坊	caifang,cf
彩凤	caifeng,cf
彩凤随鸦	caifengsuiya,cfsy
彩服	caifu,cf
彩管	caiguan,cg
彩鹳	caiguan,cg
彩翰	caihan,ch
彩毫	caihao,ch
彩号	caihao,ch
彩虹	caihong,ch
彩虹蜂虎	caihongfenghu,chfh
彩虹屁	caihongpi,chp
彩虹旗	caihongqi,chq
彩虹行动	caihongxingdong,chxd
彩虹鹦鹉	caihongyingwu,chyw
彩虹族群	caihongzuqun,chzq
彩花	caihua,ch
彩画	caihua,ch
彩鹮	caihuan,ch
彩灰	caihui,ch
彩灰酒	caihuijiu,chj
彩绘	caihui,ch
彩笺	caijian,cj
彩轿	caijiao,cj
彩局	caiju,cj
彩具	caiju,cj
彩卷	caijuan,cj
彩扩	caikuo,ck
彩礼	caili,cl
彩练	cailian,cl
彩铃	cailing,cl
彩旒	cailiu,cl
彩楼	cailou,cl
彩缕	cailu,cl
彩鸾	cailuan,cl
彩门	caimen,cm
彩民	caimin,cm
彩墨画	caimohua,cmh
彩泥	caini,cn
彩霓	caini,cn
彩女	cainu,cn
彩排	caipai,cp
彩牌楼	caipailou,cpl
彩棚	caipeng,cp
彩票	caipiao,cp
彩品	caipin,cp
彩旗	caiqi,cq
彩气	caiqi,cq
彩蒨	caiqian,cq
彩毬	caiqiu,cq
彩球	caiqiu,cq
彩券	caiquan,cq
彩色	caise,cs
彩色玻璃	caiseboli,csbl
彩色地	caisede,csd
彩色粉笔	caisefenbi,csfb
彩色片	caisepian,csp
彩色摄影	caisesheying,cssy
彩色影片	caiseyingpian,csyp
彩色照片	caisezhaopian,cszp
彩山	caishan,cs
彩胜	caisheng,cs
彩饰	caishi,cs
彩丝	caisi,cs
彩丝系虎	caisixihu,csxh
彩塑	caisu,cs
彩索	caisuo,cs
彩陶	caitao,ct
彩陶文化	caitaowenhua,ctwh
彩头	caitou,ct
彩幄	caiwo,cw
彩物	caiwu,cw
彩霞	caixia,cx
彩像	caixiang,cx
彩信	caixin,cx
彩绣	caixiu,cx
彩选	caixuan,cx
彩选格	caixuange,cxg
彩绚	caixuan,cx
彩艳	caiyan,cy
彩燕	caiyan,cy
彩衣	caiyi,cy
彩衣娱亲	caiyiyuqin,cyyq
彩鹢	caiyi,cy
彩印	caiyin,cy
彩斿	caiyou,cy
彩釉	caiyou,cy
彩舆	caiyu,cy
彩鹬	caiyu,cy
彩晕	caiyun,cy
彩云	caiyun,cy
彩云易散	caiyunyisan,cyys
彩藻	caizao,cz
彩缯	caizeng,cz
彩战	caizhan,cz
彩章	caizhang,cz
彩仗	caizhang,cz
彩杖	caizhang,cz
彩照	caizhao,cz
彩纸	caizhi,cz
彩舟	caizhou,cz
彩妆	caizhuang,cz
彩子	caizi,cz
