役兵	yibing,yb
役车	yiche,yc
役臣	yichen,yc
役畜	yichu,yc
役调	yidiao,yd
役丁	yiding,yd
役法	yifa,yf
役费	yifei,yf
役夫	yifu,yf
役赋	yifu,yf
役户	yihu,yh
役力	yili,yl
役利	yili,yl
役隶	yili,yl
役龄	yiling,yl
役令	yiling,yl
役虑	yilu,yl
役满	yiman,ym
役门	yimen,ym
役梦	yimeng,ym
役民	yimin,ym
役男	yinan,yn
役钱	yiqian,yq
役人	yiren,yr
役身	yishen,ys
役神	yishen,ys
役使	yishi,ys
役使动物	yishidongwu,ysdw
役事	yishi,ys
役手	yishou,ys
役属	yishu,ys
役思	yisi,ys
役损	yisun,ys
役所	yisuo,ys
役徒	yitu,yt
役务	yiwu,yw
役物	yiwu,yw
役心	yixin,yx
役养	yiyang,yy
役要	yiyao,yy
役役	yi,y
役庸	yiyong,yy
役用	yiyong,yy
役御	yiyu,yy
役召	yizhao,yz
役政	yizheng,yz
役志	yizhi,yz
役智	yizhi,yz
役逐	yizhu,yz
役卒	yizu,yz
役作	yizuo,yz
