徧爱	bianai,ba
徧安	bianan,ba
徧拜	bianbai,bb
徧报	bianbao,bb
徧徧	bian,b
徧布	bianbu,bb
徧赐	bianci,bc
徧存	biancun,bc
徧地	biandi,bd
徧读	biandu,bd
徧覩	biandu,bd
徧服	bianfu,bf
徧覆	bianfu,bf
徧该	biangai,bg
徧告	biangao,bg
徧观	bianguan,bg
徧积	bianji,bj
徧计所执性	bianjisuozhixing,bjszx
徧计所执自性	bianjisuozhizixing,bjszzx
徧祭	bianji,bj
徧见	bianjian,bj
徧戒	bianjie,bj
徧诫	bianjie,bj
徧举	bianju,bj
徧览	bianlan,bl
徧礼	bianli,bl
徧历	bianli,bl
徧拍	bianpai,bp
徧赊	bianshe,bs
徧省	biansheng,bs
徧师	bianshi,bs
徧施	bianshi,bs
徧手钱	bianshouqian,bsq
徧祀	biansi,bs
徧搜	biansou,bs
徧谈	biantan,bt
徧眺	biantiao,bt
徧通	biantong,bt
徧闻	bianwen,bw
徧舞	bianwu,bw
徧儛	bianwu,bw
徧晓	bianxiao,bx
徧谢	bianxie,bx
徧行	bianxing,bx
徧循	bianxun,bx
徧游	bianyou,by
徧谕	bianyu,by
徧赞	bianzan,bz
徧照	bianzhao,bz
徧知	bianzhi,bz
徧至	bianzhi,bz
徧周	bianzhou,bz
