必备	bibei,bb
必必剥剥	bibao,bb
必不得已	bibudeyi,bbdy
必不可缺	bibukeque,bbkq
必不可少	bibukeshao,bbks
必不可少组成	bibukeshaozucheng,bbkszc
必不挠北	bibunaobei,bbnb
必操胜券	bicaoshengquan,bcsq
必彻彻	biche,bc
必赤赤	bichi,bc
必大	bida,bd
必得	bidei,bd
必定	biding,bd
必定地	bidengde,bdd
必丢不搭	bidiubuda,bdbd
必丢疋搭	bidiupida,bdpd
必丢仆答	bidiupuda,bdpd
必阇赤	biduchi,bdc
必方	bifang,bf
必恭必敬	bigongjing,bgj
必躬必亲	bigongqin,bgq
必固	bigu,bg
必和必拓	bihuotuo,bht
必将	bijiang,bj
必经	bijing,bj
必经之路	bijingzhilu,bjzl
必竟	bijing,bj
必里迟离	bilichi,blc
必力	bili,bl
必力不剌	bilibula,blbl
必留不剌	biliubula,blbl
必律不剌	bilubula,blbl
必律律	bilu,bl
必诺	binuo,bn
必然	biran,br
必然地	birande,brd
必然结果	biranjieguo,brjg
必然事件	biranshijian,brsj
必然王国	biranwangguo,brwg
必然王国与自由王国	biranwangguoyuziyou,brwgyzy
必然性	biranxing,brx
必然性推理	biranxingtuili,brxtl
必然性与偶然性	biranxingyuou,brxyo
必然与自由	biranyuziyou,bryzy
必胜	bisheng,bs
必胜客	bishengke,bsk
必世	bishi,bs
必死之症	bisizhizheng,bszz
必索	bisuo,bs
必务	biwu,bw
必先	bixian,bx
必先利其器	bixianliqi,bxlq
必先与之	bixianyuzhi,bxyz
必修	bixiu,bx
必修科	bixiuke,bxk
必修课	bixiuke,bxk
必须	bixu,bx
必须地	bixude,bxd
必需	bixu,bx
必需地	bixude,bxd
必需品	bixupin,bxp
必要	biyao,by
必要产品	biyaochanpin,bycp
必要地	biyaode,byd
必要劳动	biyaolaodong,byld
必要条件	biyaotiaojian,bytj
必要性	biyaoxing,byx
必也正名	biyezhengming,byzm
必以情	biyiqing,byq
必应	biying,by
必由之路	biyouzhilu,byzl
必有芳草	biyoufangcao,byfc
必有后福	biyouhoufu,byhf
必有后禄	biyouhoulu,byhl
必有近忧	biyoujin,byj
必有死夫	biyousifu,bysf
必有我师	biyouwoshi,byws
必有一彪	biyouyibiao,byyb
必有一得	biyouyide,byyd
必有一伤	biyouyishang,byys
必有一失	biyouyishi,byys
必有勇夫	biyouyongfu,byyf
必有忠士	biyouzhongshi,byzs
必有忠信	biyouzhongxin,byzx
必有重谢	biyouzhongxie,byzx
必争之地	bizhengzhidi,bzzd
必至	bizhi,bz
