忠爱	zhongai,za
忠报	zhongbao,zb
忠弼	zhongbi,zb
忠不避危	zhongbubiwei,zbbw
忠臣	zhongchen,zc
忠忱	zhongchen,zc
忠诚	zhongcheng,zc
忠诚地	zhongchengde,zcd
忠赤	zhongchi,zc
忠纯	zhongchun,zc
忠粹	zhongcui,zc
忠谠	zhongdang,zd
忠德	zhongde,zd
忠笃	zhongdu,zd
忠敦	zhongdun,zd
忠谔	zhonge,ze
忠方	zhongfang,zf
忠放	zhongfang,zf
忠愤	zhongfen,zf
忠孚	zhongfu,zf
忠甫	zhongfu,zf
忠附	zhongfu,zf
忠概	zhonggai,zg
忠肝	zhonggan,zg
忠肝义胆	zhongganyidan,zgyd
忠干	zhonggan,zg
忠刚	zhonggang,zg
忠告	zhonggao,zg
忠耿	zhonggeng,zg
忠梗	zhonggeng,zg
忠鲠	zhonggeng,zg
忠公	zhonggong,zg
忠功	zhonggong,zg
忠骨	zhonggu,zg
忠固	zhonggu,zg
忠贯白日	zhongguanbairi,zgbr
忠贯日月	zhongguanriyue,zgry
忠规	zhonggui,zg
忠果	zhongguo,zg
忠骸	zhonghai,zh
忠和	zhonghe,zh
忠厚	zhonghou,zh
忠厚地	zhonghoude,zhd
忠诲	zhonghui,zh
忠惠	zhonghui,zh
忠魂	zhonghun,zh
忠嘉	zhongjia,zj
忠坚	zhongjian,zj
忠俭	zhongjian,zj
忠謇	zhongjian,zj
忠蹇	zhongjian,zj
忠谏	zhongjian,zj
忠节	zhongjie,zj
忠洁	zhongjie,zj
忠介	zhongjie,zj
忠谨	zhongjin,zj
忠劲	zhongjin,zj
忠荩	zhongjin,zj
忠精	zhongjing,zj
忠敬	zhongjing,zj
忠靖冠	zhongjingguan,zjg
忠靖衣	zhongjingyi,zjy
忠静服	zhongjingfu,zjf
忠静冠	zhongjingguan,zjg
忠静衣	zhongjingyi,zjy
忠君爱国	zhongjunaiguo,zjag
忠慨	zhongkai,zk
忠客	zhongke,zk
忠恪	zhongke,zk
忠恳	zhongken,zk
忠款	zhongkuan,zk
忠悃	zhongkun,zk
忠劳	zhonglao,zl
忠力	zhongli,zl
忠利	zhongli,zl
忠廉	zhonglian,zl
忠良	zhongliang,zl
忠亮	zhongliang,zl
忠谅	zhongliang,zl
忠烈	zhonglie,zl
忠灵	zhongling,zl
忠虑	zhonglu,zl
忠略	zhonglue,zl
忠论	zhonglun,zl
忠密	zhongmi,zm
忠敏	zhongmin,zm
忠谟	zhongmo,zm
忠谋	zhongmou,zm
忠南大学校	zhongnandaxuexiao,zndxx
忠能	zhongneng,zn
忠佞	zhongning,zn
忠平	zhongping,zp
忠仆	zhongpu,zp
忠朴	zhongpiao,zp
忠虔	zhongqian,zq
忠切	zhongqie,zq
忠勤	zhongqin,zq
忠懃	zhongqin,zq
忠清	zhongqing,zq
忠清北道	zhongqingbeidao,zqbd
忠清道	zhongqingdao,zqd
忠清南道	zhongqingnandao,zqnd
忠情	zhongqing,zq
忠驱义感	zhongquyigan,zqyg
忠泉	zhongquan,zq
忠悫	zhongque,zq
忠确	zhongque,zq
忠人	zhongren,zr
忠善	zhongshan,zs
忠舌	zhongshe,zs
忠慎	zhongshen,zs
忠圣	zhongsheng,zs
忠实	zhongshi,zs
忠实地	zhongshide,zsd
忠士	zhongshi,zs
忠恕	zhongshu,zs
忠顺	zhongshun,zs
忠肃	zhongsu,zs
忠素	zhongsu,zs
忠武	zhongwu,zw
忠贤	zhongxian,zx
忠县	zhongxian,zx
忠孝	zhongxiao,zx
忠孝带	zhongxiaodai,zxd
忠孝节义	zhongxiaojieyi,zxjy
忠孝军	zhongxiaojun,zxj
忠孝两全	zhongxiaoliangquan,zxlq
忠效	zhongxiao,zx
忠邪	zhongxie,zx
忠心	zhongxin,zx
忠心赤胆	zhongxinchidan,zxcd
忠心耿耿	zhongxingeng,zxg
忠心贯日	zhongxinguanri,zxgr
忠信	zhongxin,zx
忠许	zhongxu,zx
忠勋	zhongxun,zx
忠言	zhongyan,zy
忠言逆耳	zhongyannier,zyne
忠养	zhongyang,zy
忠一	zhongyi,zy
忠义	zhongyi,zy
忠义地	zhongyide,zyd
忠益	zhongyi,zy
忠谊	zhongyi,zy
忠毅	zhongyi,zy
忠懿	zhongyi,zy
忠勇	zhongyong,zy
忠猷	zhongyou,zy
忠友	zhongyou,zy
忠于	zhongyu,zy
忠允	zhongyun,zy
忠贞	zhongzhen,zz
忠贞不贰	zhongzhenbuer,zzbe
忠贞不渝	zhongzhenbuyu,zzby
忠贞地	zhongzhende,zzd
忠箴	zhongzhen,zz
忠正	zhongzheng,zz
忠直	zhongzhi,zz
忠至	zhongzhi,zz
忠志	zhongzhi,zz
忠智	zhongzhi,zz
忠壮	zhongzhuang,zz
