忿隘	fenai,fa
忿兵	fenbing,fb
忿不顾身	fenbugushen,fbgs
忿恻	fence,fc
忿滀	fenchu,fc
忿斗	fendou,fd
忿毒	fendu,fd
忿怼	fendui,fd
忿发	fenfa,ff
忿忿	fen,f
忿忿不平	fenbuping,fbp
忿忿地	fende,fd
忿愤	fen,f
忿憾	fenhan,fh
忿恨	fenhen,fh
忿恚	fenhui,fh
忿火中烧	fenhuozhongshao,fhzs
忿激	fenji,fj
忿疾	fenji,fj
忿嫉	fenji,fj
忿竞	fenjing,fj
忿颣	fenlei,fl
忿戾	fenli,fl
忿詈	fenli,fl
忿懑	fenmen,fm
忿怒	fennu,fn
忿怒地	fennude,fnd
忿气	fenqi,fq
忿然	fenran,fr
忿然作色	fenranzuose,frzs
忿塞	fensai,fs
忿丧	fensang,fs
忿世嫉俗	fenshijisu,fsjs
忿速	fensu,fs
忿痛	fentong,ft
忿苇	fenwei,fw
忿阋	fenxi,fx
忿隙	fenxi,fx
忿性	fenxing,fx
忿言	fenyan,fy
忿邑	fenyi,fy
忿郁	fenyu,fy
忿欝	fenyu,fy
忿悁	fenyuan,fy
忿怨	fenyuan,fy
忿愠	fenyun,fy
忿噪	fenzao,fz
忿躁	fenzao,fz
忿争	fenzheng,fz
忿诤	fenzheng,fz
忿忮	fenzhi,fz
忿鸷	fenzhi,fz
忿疐	fendi,fd
忿懥	fenzhi,fz
忿懫	fenzhi,fz
