惊哀	jingai,ja
惊懊	jingao,ja
惊白	jingbai,jb
惊爆	jingbao,jb
惊悖	jingbei,jb
惊奔	jingben,jb
惊迸	jingbeng,jb
惊逼	jingbi,jb
惊跸	jingbi,jb
惊避	jingbi,jb
惊变	jingbian,jb
惊猋	jingbiao,jb
惊飙	jingbiao,jb
惊颷	jingbiao,jb
惊镳	jingbiao,jb
惊飊	jingbiao,jb
惊波	jingbo,jb
惊怖	jingbu,jb
惊猜	jingcai,jc
惊才风逸	jingcaifengyi,jcfy
惊才绝艳	jingcaijueyan,jcjy
惊采绝艳	jingcaijueyan,jcjy
惊惭	jingcan,jc
惊惨	jingcan,jc
惊诧	jingcha,jc
惊孱	jingchan,jc
惊颤	jingchan,jc
惊潮	jingchao,jc
惊吵	jingchao,jc
惊车	jingche,jc
惊尘	jingchen,jc
惊怵	jingchu,jc
惊搐	jingchu,jc
惊川	jingchuan,jc
惊传	jingchuan,jc
惊怆	jingchuang,jc
惊春	jingchun,jc
惊潨	jingcong,jc
惊窜	jingcuan,jc
惊错	jingcuo,jc
惊怛	jingda,jd
惊呆	jingdai,jd
惊代	jingdai,jd
惊惮	jingdan,jd
惊倒	jingdao,jd
惊悼	jingdao,jd
惊电	jingdian,jd
惊定	jingding,jd
惊动	jingdong,jd
惊黩	jingdu,jd
惊遁	jingdun,jd
惊吪	jinge,je
惊鄂	jinge,je
惊愕	jinge,je
惊愕失色	jingeshise,jess
惊耳	jinger,je
惊耳骇目	jingerhaimu,jehm
惊帆	jingfan,jf
惊犯	jingfan,jf
惊飞	jingfei,jf
惊愤	jingfen,jf
惊风	jingfeng,jf
惊风扯火	jingfengchehuo,jfch
惊风骇浪	jingfenghailang,jfhl
惊风怒涛	jingfengnutao,jfnt
惊烽	jingfeng,jf
惊夫	jingfu,jf
惊伏	jingfu,jf
惊服	jingfu,jf
惊鵩鸟	jingfuniao,jfn
惊仡	jingyi,jy
惊弓	jinggong,jg
惊弓之鸟	jinggongzhiniao,jgzn
惊骨	jinggu,jg
惊顾	jinggu,jg
惊怪	jingguai,jg
惊恠	jingguai,jg
惊闺	jinggui,jg
惊诡	jinggui,jg
惊聒	jingguo,jg
惊骇	jinghai,jh
惊骇地	jinghaide,jhd
惊駴	jinghai,jh
惊汗	jinghan,jh
惊嘷	jinghao,jh
惊諕	jinghao,jh
惊号	jinghao,jh
惊恨	jinghen,jh
惊鸿	jinghong,jh
惊鸿艳影	jinghongyanying,jhyy
惊呼	jinghu,jh
惊嘑	jinghu,jh
惊唬	jinghu,jh
惊怀	jinghuai,jh
惊荒	jinghuang,jh
惊慌	jinghuang,jh
惊慌地	jinghuangde,jhd
惊慌失措	jinghuangshicuo,jhsc
惊慌失色	jinghuangshise,jhss
惊慌无措	jinghuangwucuo,jhwc
惊皇	jinghuang,jh
惊皇失措	jinghuangshicuo,jhsc
惊惶	jinghuang,jh
惊惶失措	jinghuangshicuo,jhsc
惊惶失色	jinghuangshise,jhss
惊惶万状	jinghuangwanzhuang,jhwz
惊惶无措	jinghuangwucuo,jhwc
惊怳	jinghuang,jh
惊恍	jinghuang,jh
惊灰	jinghui,jh
惊豗	jinghui,jh
惊悔	jinghui,jh
惊婚	jinghun,jh
惊魂	jinghun,jh
惊魂动魄	jinghundongpo,jhdp
惊魂夺魄	jinghunduopo,jhdp
惊魂甫定	jinghunfuding,jhfd
惊魂落魄	jinghunluopo,jhlp
惊魂丧魄	jinghunsangpo,jhsp
惊魂摄魄	jinghunshepo,jhsp
惊魂失魄	jinghunshipo,jhsp
惊魂未定	jinghunweiding,jhwd
惊惑	jinghuo,jh
惊吉利	jingjili,jjl
惊急	jingji,jj
惊急里	jingjili,jjl
惊急力	jingjili,jjl
惊急列	jingjilie,jjl
惊急烈	jingjilie,jjl
惊悸	jingji,jj
惊见骇闻	jingjianhaiwen,jjhw
惊矫	jingjiao,jj
惊叫	jingjiao,jj
惊嗟	jingjie,jj
惊劫	jingjie,jj
惊捷	jingjie,jj
惊津	jingjin,jj
惊浸	jingjin,jj
惊惊怍怍	jingzuo,jz
惊窘	jingjiong,jj
惊救	jingjiu,jj
惊沮	jingju,jj
惊惧	jingju,jj
惊懅	jingju,jj
惊遽	jingju,jj
惊绝	jingjue,jj
惊觉	jingjue,jj
惊厥	jingjue,jj
惊蹶	jingjue,jj
惊矍	jingjue,jj
惊戄	jingjue,jj
惊麏	jingjun,jj
惊看	jingkan,jk
惊客	jingke,jk
惊恐	jingkong,jk
惊恐地	jingkongde,jkd
惊恐失色	jingkongshise,jkss
惊恐万状	jingkongwanzhuang,jkwz
惊恐翼龙	jingkongyilong,jkyl
惊哭	jingku,jk
惊愧	jingkui,jk
惊溃	jingkui,jk
惊濑	jinglai,jl
惊澜	jinglan,jl
惊浪	jinglang,jl
惊雷	jinglei,jl
惊雷荚	jingleijia,jlj
惊靁	jinglei,jl
惊楞	jingleng,jl
惊愣	jingleng,jl
惊立	jingli,jl
惊栗	jingli,jl
惊怜	jinglian,jl
惊敛	jinglian,jl
惊流	jingliu,jl
惊龙	jinglong,jl
惊泷	jinglong,jl
惊虑	jinglu,jl
惊鸾	jingluan,jl
惊鸾回凤	jingluanhuifeng,jlhf
惊乱	jingluan,jl
惊马	jingma,jm
惊忙	jingmang,jm
惊槑	jingdai,jd
惊美	jingmei,jm
惊梦	jingmeng,jm
惊靡	jingmi,jm
惊眠	jingmian,jm
惊鸣	jingming,jm
惊沫	jingmo,jm
惊目	jingmu,jm
惊慕	jingmu,jm
惊挠	jingnao,jn
惊恼	jingnao,jn
惊闹	jingnao,jn
惊鲵	jingni,jn
惊淰	jingnian,jn
惊鸟	jingniao,jn
惊女	jingnu,jn
惊怕	jingpa,jp
惊湃	jingpai,jp
惊佩	jingpei,jp
惊蓬	jingpeng,jp
惊鼙	jingpi,jp
惊飘	jingpiao,jp
惊破	jingpo,jp
惊魄	jingpo,jp
惊仆	jingpu,jp
惊奇	jingqi,jq
惊奇地	jingqide,jqd
惊奇地发现	jingqidefaxian,jqdfx
惊起	jingqi,jq
惊起梁尘	jingqiliangchen,jqlc
惊气	jingqi,jq
惊怯	jingqie,jq
惊禽	jingqin,jq
惊秋	jingqiu,jq
惊鹊	jingque,jq
惊群动众	jingqundongzhong,jqdz
惊然	jingran,jr
惊扰	jingrao,jr
惊人	jingren,jr
惊人地	jingrende,jrd
惊人地高	jingrendegao,jrdg
惊人地相似	jingrendexiangsi,jrdxs
惊人显着地	jingrenxianzhede,jrxzd
惊人之举	jingrenzhiju,jrzj
惊肉生髀	jingroushengbi,jrsb
惊散	jingsan,js
惊骚	jingsao,js
惊沙	jingsha,js
惊砂	jingsha,js
惊讪	jingshan,js
惊赏	jingshang,js
惊蛇	jingshe,js
惊蛇入草	jingsherucao,jsrc
惊慑	jingshe,js
惊神	jingshen,js
惊神破胆	jingshenpodan,jspd
惊神泣鬼	jingshenqigui,jsqg
惊师动众	jingshidongzhong,jsdz
惊时	jingshi,js
惊世	jingshi,js
惊世骇目	jingshihaimu,jshm
惊世骇俗	jingshihaisu,jshs
惊世绝俗	jingshijuesu,jsjs
惊世震俗	jingshizhensu,jszs
惊事	jingshi,js
惊视	jingshi,js
惊倏	jingshu,js
惊耍	jingshua,js
惊睡	jingshui,js
惊嘶	jingsi,js
惊悚	jingsong,js
惊耸	jingsong,js
惊竦	jingsong,js
惊俗	jingsu,js
惊肃	jingsu,js
惊滩	jingtan,jt
惊叹	jingtan,jt
惊叹不已	jingtanbuyi,jtby
惊叹号	jingtanhao,jth
惊堂	jingtang,jt
惊堂木	jingtangmu,jtm
惊涛	jingtao,jt
