惶怖	huangbu,hb
惶惭	huangcan,hc
惶促	huangcu,hc
惶怛	huangda,hd
惶愕	huange,he
惶顾	huanggu,hg
惶骇	huanghai,hh
惶駴	huanghai,hh
惶汗	huanghan,hh
惶惶	huang,h
惶惶不安	huangbuan,hba
惶惶不可终日	huangbukezhongri,hbkzr
惶惶然	huangran,hr
惶悔	huanghui,hh
惶惑	huanghuo,hh
惶急	huangji,hj
惶悸	huangji,hj
惶窘	huangjiong,hj
惶沮	huangju,hj
惶惧	huangju,hj
惶懅	huangju,hj
惶遽	huangju,hj
惶恐	huangkong,hk
惶恐不安	huangkongbuan,hkba
惶恐滩	huangkongtan,hkt
惶愦	huangkui,hk
惶愧	huangkui,hk
惶栗	huangli,hl
惶恋	huanglian,hl
惶乱	huangluan,hl
惶挠	huangnao,hn
惶怒	huangnu,hn
惶迫	huangpo,hp
惶怯	huangqie,hq
惶然	huangran,hr
惶懹	huangrang,hr
惶扰	huangrao,hr
惶悚	huangsong,hs
惶惕	huangti,ht
惶惋	huangwan,hw
惶畏	huangwei,hw
惶疑	huangyi,hy
惶越	huangyue,hy
惶灼	huangzhuo,hz
