愁哀	chouai,ca
愁黯	chouan,ca
愁黯黯	chouan,ca
愁抱	choubao,cb
愁悲	choubei,cb
愁鬓	choubin,cb
愁布袋	choubudai,cbd
愁怖	choubu,cb
愁猜	choucai,cc
愁惨	choucan,cc
愁惨惨	choucan,cc
愁黪	choucan,cc
愁肠	chouchang,cc
愁肠百结	chouchangbaijie,ccbj
愁肠寸断	chouchangcunduan,cccd
愁肠九回	chouchangjiuhui,ccjh
愁肠九转	chouchangjiuzhuan,ccjz
愁肠殢酒	chouchangtijiu,cctj
愁怅	chouchang,cc
愁城	choucheng,cc
愁愁	chou,c
愁楚	chouchu,cc
愁悰	choucong,cc
愁促	choucu,cc
愁蹙	choucu,cc
愁蹙蹙	choucu,cc
愁悴	choucui,cc
愁瘁	choucui,cc
愁翠	choucui,cc
愁黛	choudai,cd
愁滴	choudi,cd
愁垫	choudian,cd
愁惵	choudie,cd
愁毒	choudu,cd
愁端	chouduan,cd
愁多夜长	chouduoyechang,cdyc
愁蛾	choue,ce
愁发	choufa,cf
愁烦	choufan,cf
愁愤	choufen,cf
愁妇草	choufucao,cfc
愁感	chougan,cg
愁辜	chougu,cg
愁海	chouhai,ch
愁恨	chouhen,ch
愁红	chouhong,ch
愁红惨绿	chouhongcanlu,chcl
愁红惨緑	chouhongcanlu,chcl
愁红怨绿	chouhongyuanlu,chyl
愁红怨緑	chouhongyuanlu,chyl
愁胡	chouhu,ch
愁怀	chouhuai,ch
愁环	chouhuan,ch
愁惛	chouhun,ch
愁机	chouji,cj
愁疾	chouji,cj
愁寂	chouji,cj
愁煎	choujian,cj
愁窖儿	choujiaoer,cje
愁结	choujie,cj
愁襟	choujin,cj
愁窘	choujiong,cj
愁沮	chouju,cj
愁惧	chouju,cj
愁绝	choujue,cj
愁客	chouke,ck
愁苦	chouku,ck
愁愦	choukui,ck
愁困	choukun,ck
愁劳	choulao,cl
愁垒	choulei,cl
愁霖	choulin,cl
愁旅	choulu,cl
愁虑	choulu,cl
愁轮	choulun,cl
愁脉脉	choumo,cm
愁眉	choumei,cm
愁眉不展	choumeibuzhan,cmbz
愁眉蹙额	choumeicue,cmce
愁眉锦	choumeijin,cmj
愁眉苦脸	choumeikulian,cmkl
愁眉苦眼	choumeikuyan,cmky
愁眉泪眼	choumeileiyan,cmly
愁眉锁眼	choumeisuoyan,cmsy
愁眉啼妆	choumeitizhuang,cmtz
愁闷	choumen,cm
愁闷地	choumende,cmd
愁懑	choumen,cm
愁苗	choumiao,cm
愁魔	choumo,cm
愁慕	choumu,cm
愁恼	chounao,cn
愁潘病沈	choupanbingshen,cpbs
愁盘	choupan,cp
愁魄	choupo,cp
愁凄	chouqi,cq
愁戚	chouqi,cq
愁戚戚	chouqi,cq
愁泣	chouqi,cq
愁勤	chouqin,cq
愁懃	chouqin,cq
愁情	chouqing,cq
愁然	chouran,cr
愁扰	chourao,cr
愁人	chouren,cr
愁容	chourong,cr
愁冗冗	chourong,cr
愁色	chouse,cs
愁杀	chousha,cs
愁煞	chousha,cs
愁山闷海	choushanmenhai,csmh
愁神	choushen,cs
愁霜	choushuang,cs
愁丝	chousi,cs
愁思	chousi,cs
愁诉	chousu,cs
愁损	chousun,cs
愁叹	choutan,ct
愁惕	chouti,ct
愁听	chouting,ct
愁痛	choutong,ct
愁畏	chouwei,cw
愁雾	chouwu,cw
愁乡	chouxiang,cx
愁心	chouxin,cx
愁辛	chouxin,cx
愁绪	chouxu,cx
愁绪如麻	chouxuruma,cxrm
愁烟	chouyan,cy
愁颜	chouyan,cy
愁艳	chouyan,cy
愁倚阑	chouyilan,cyl
愁倚阑令	chouyilanling,cyll
愁悒	chouyi,cy
愁阴	chouyin,cy
愁吟	chouyin,cy
愁慵	chouyong,cy
愁忧	chouyou,cy
愁予	chouyu,cy
愁郁	chouyu,cy
愁郁郁	chouyu,cy
愁怨	chouyuan,cy
愁约	chouyue,cy
愁云	chouyun,cy
愁云惨淡	chouyuncandan,cycd
愁云惨雾	chouyuncanwu,cycw
愁长殢酒	chouchangtijiu,cctj
愁阵	chouzhen,cz
愁惴	chouzhui,cz
愁咨	chouzi,cz
愁坐	chouzuo,cz
