愆弊	qianbi,qb
愆程	qiancheng,qc
愆错	qiancuo,qc
愆怠	qiandai,qd
愆堕	qianduo,qd
愆痾	qianke,qk
愆乏	qianfa,qf
愆犯	qianfan,qf
愆伏	qianfu,qf
愆负	qianfu,qf
愆过	qianguo,qg
愆和	qianhe,qh
愆候	qianhou,qh
愆悔	qianhui,qh
愆咎	qianjiu,qj
愆亢	qiankang,qk
愆缧	qianlei,ql
愆戾	qianli,ql
愆令	qianling,ql
愆面	qianmian,qm
愆谬	qianmiu,qm
愆目	qianmu,qm
愆期	qianqi,qq
愆晴	qianqing,qq
愆阙	qianque,qq
愆失	qianshi,qs
愆时	qianshi,qs
愆素	qiansu,qs
愆忒	qiantui,qt
愆忘	qianwang,qw
愆违	qianwei,qw
愆位	qianwei,qw
愆紊	qianwen,qw
愆误	qianwu,qw
愆瑕	qianxia,qx
愆邪	qianxie,qx
愆衅	qianxin,qx
愆序	qianxu,qx
愆悬	qianxuan,qx
愆殃	qianyang,qy
愆阳	qianyang,qy
愆旸	qianyang,qy
愆仪	qianyi,qy
愆义	qianyi,qy
愆佚	qianyi,qy
愆淫	qianyin,qy
愆尤	qianyou,qy
愆虞	qianyu,qy
愆则	qianze,qz
愆滞	qianzhi,qz
愆诛	qianzhu,qz
愆罪	qianzui,qz
