慕从	mucong,mc
慕道	mudao,md
慕道友	mudaoyou,mdy
慕德	mude,md
慕仿	mufang,mf
慕古	mugu,mg
慕古薄今	mugubojin,mgbj
慕顾	mugu,mg
慕光	muguang,mg
慕号	muhao,mh
慕化	muhua,mh
慕赖	mulai,ml
慕嫪	mulao,ml
慕乐	mule,ml
慕类	mulei,ml
慕利	muli,ml
慕恋	mulian,ml
慕料	muliao,ml
慕蔺	mulin,ml
慕侣	mulu,ml
慕名	muming,mm
慕名而来	mumingerlai,mmel
慕尼黑	munihei,mnh
慕尼黑政策	muniheizhengce,mnhzc
慕嚬	mupin,mp
慕企	muqi,mq
慕容	murong,mr
慕膻	mushan,ms
慕尚	mushang,ms
慕声	musheng,ms
慕势	mushi,ms
慕丝	musi,ms
慕思	musi,ms
慕斯	musi,ms
慕叹	mutan,mt
慕田峪	mutianyu,mty
慕望	muwang,mw
慕位	muwei,mw
慕习	muxi,mx
慕袭	muxi,mx
慕贤	muxian,mx
慕羡	muxian,mx
慕向	muxiang,mx
慕効	muxiao,mx
慕效	muxiao,mx
慕斅	muxiao,mx
慕循	muxun,mx
慕殉	muxun,mx
慕艳	muyan,my
慕仰	muyang,my
慕义	muyi,my
慕用	muyong,my
慕舆	muyu,my
慕远	muyuan,my
慕悦	muyue,my
慕志	muzhi,mz
