慧辨	huibian,hb
慧藏	huicang,hc
慧齿	huichi,hc
慧刀	huidao,hd
慧德	huide,hd
慧灯	huideng,hd
慧典	huidian,hd
慧根	huigen,hg
慧骨	huigu,hg
慧观	huiguan,hg
慧光	huiguang,hg
慧海	huihai,hh
慧火	huihuo,hh
慧寂	huiji,hj
慧剑	huijian,hj
慧鉴	huijian,hj
慧捷	huijie,hj
慧解	huijie,hj
慧警	huijing,hj
慧镜	huijing,hj
慧炬	huiju,hj
慧觉	huijue,hj
慧俊	huijun,hj
慧空禅院	huikongchanyuan,hkcy
慧力	huili,hl
慧丽	huili,hl
慧利	huili,hl
慧箓	huilu,hl
慧美	huimei,hm
慧门	huimen,hm
慧明	huiming,hm
慧命	huiming,hm
慧目	huimu,hm
慧能	huineng,hn
慧巧	huiqiao,hq
慧泉	huiquan,hq
慧然	huiran,hr
慧人	huiren,hr
慧日	huiri,hr
慧圣	huisheng,hs
慧士	huishi,hs
慧水	huishui,hs
慧听	huiting,ht
慧悟	huiwu,hw
慧黠	huixia,hx
慧心	huixin,hx
慧心妙舌	huixinmiaoshe,hxms
慧心巧思	huixinqiaosi,hxqs
慧星	huixing,hx
慧性	huixing,hx
慧秀	huixiu,hx
慧雅	huiya,hy
慧眼	huiyan,hy
慧眼独具	huiyanduju,hydj
慧艳	huiyan,hy
慧业	huiye,hy
慧业才人	huiyecairen,hycr
慧业文人	huiyewenren,hywr
慧叶	huiye,hy
慧义	huiyi,hy
慧颖	huiying,hy
慧雨	huiyu,hy
慧语	huiyu,hy
慧月	huiyue,hy
慧云	huiyun,hy
慧照	huizhao,hz
慧质	huizhi,hz
慧智	huizhi,hz
慧烛	huizhu,hz
