戎备	rongbei,rb
戎兵	rongbing,rb
戎柄	rongbing,rb
戎骖	rongcan,rc
戎场	rongchang,rc
戎车	rongche,rc
戎臣	rongchen,rc
戎陈	rongchen,rc
戎丑	rongchou,rc
戎储	rongchu,rc
戎狄	rongdi,rd
戎翟	rongzhai,rz
戎藩	rongfan,rf
戎服	rongfu,rf
戎副	rongfu,rf
戎歌	rongge,rg
戎工	ronggong,rg
戎弓	ronggong,rg
戎公	ronggong,rg
戎功	ronggong,rg
戎冠	rongguan,rg
戎捍	ronghan,rh
戎号	ronghao,rh
戎华	ronghua,rh
戎荒	ronghuang,rh
戎麾	ronghui,rh
戎机	rongji,rj
戎级	rongji,rj
戎疾	rongji,rj
戎籍	rongji,rj
戎寄	rongji,rj
戎甲	rongjia,rj
戎舰	rongjian,rj
戎将	rongjiang,rj
戎节	rongjie,rj
戎捷	rongjie,rj
戎羯	rongjie,rj
戎戒	rongjie,rj
戎烬	rongjin,rj
戎禁	rongjin,rj
戎经	rongjing,rj
戎具	rongju,rj
戎克船	rongkechuan,rkc
戎葵	rongkui,rk
戎阃	rongkun,rk
戎垒	ronglei,rl
戎吏	rongli,rl
戎虏	ronglu,rl
戎辂	ronglu,rl
戎路	ronglu,rl
戎旅	ronglu,rl
戎律	ronglu,rl
戎略	ronglue,rl
戎逻	rongluo,rl
戎落	rongluo,rl
戎马	rongma,rm
戎马仓皇	rongmacanghuang,rmch
戎马倥偬	rongmakongzong,rmkz
戎马倥傯	rongmakongzong,rmkz
戎马劻勷	rongmakuangrang,rmkr
戎马生郊	rongmashengjiao,rmsj
戎马生涯	rongmashengya,rmsy
戎蛮	rongman,rm
戎曼	rongman,rm
戎门	rongmen,rm
戎貊	rongmo,rm
戎幕	rongmu,rm
戎女	rongnu,rn
戎旆	rongpei,rp
戎辔	rongpei,rp
戎仆	rongpu,rp
戎骑	rongqi,rq
戎旗	rongqi,rq
戎棨	rongqi,rq
戎器	rongqi,rq
戎戎	rong,r
戎缮	rongshan,rs
戎士	rongshi,rs
戎事	rongshi,rs
戎事倥偬	rongshikongzong,rskz
戎首	rongshou,rs
戎叔	rongshu,rs
戎枢	rongshu,rs
戎菽	rongshu,rs
戎戍	rongshu,rs
戎帅	rongshuai,rs
戎索	rongsuo,rs
戎韬	rongtao,rt
戎亭	rongting,rt
戎统	rongtong,rt
戎王使者	rongwangshizhe,rwsz
戎王子	rongwangzi,rwz
戎威	rongwei,rw
戎卫	rongwei,rw
戎伍	rongwu,rw
戎务	rongwu,rw
戎校	rongxiao,rx
戎心	rongxin,rx
戎行	ronghang,rh
戎轩	rongxuan,rx
戎宣王尸	rongxuanwangshi,rxws
戎盐	rongyan,ry
戎衣	rongyi,ry
戎夷	rongyi,ry
戎役	rongyi,ry
戎右	rongyou,ry
戎御	rongyu,ry
戎钺	rongyue,ry
戎毡	rongzhan,rz
戎旃	rongzhan,rz
戎章	rongzhang,rz
戎仗	rongzhang,rz
戎帐	rongzhang,rz
戎昭	rongzhao,rz
戎轸	rongzhen,rz
戎阵	rongzhen,rz
戎政	rongzheng,rz
戎秩	rongzhi,rz
戎重	rongzhong,rz
戎装	rongzhuang,rz
戎卒	rongzu,rz
