户版	huban,hb
户豹	hubao,hb
户辨	hubian,hb
户辩	hubian,hb
户伯	hubo,hb
户部	hubu,hb
户部尚书	hubushangshu,hbss
户曹	hucao,hc
户曹参军	hucaocanjun,hccj
户曹尚书	hucaoshangshu,hcss
户册	huce,hc
户侧	huce,hc
户钞	huchao,hc
户等	hudeng,hd
户调	hudiao,hd
户丁	huding,hd
户房	hufang,hf
户扉	hufei,hf
户符	hufu,hf
户告人晓	hugaorenxiao,hgrx
户钩	hugou,hg
户贯	huguan,hg
户阖	huhe,hh
户籍	huji,hj
户籍警	hujijing,hjj
户计	huji,hj
户家	hujia,hj
户将	hujiang,hj
户扃	hujiong,hj
户绝	hujue,hj
户均	hujun,hj
户槛	hukan,hk
户课	huke,hk
户口	hukou,hk
户口本	hukouben,hkb
户口簿	hukoubu,hkb
户口册	hukouce,hkc
户口名簿	hukoumingbu,hkmb
户口制	hukouzhi,hkz
户口制度	hukouzhidu,hkzd
户郎	hulang,hl
户辚	hulin,hl
户橉	hulin,hl
户马	huma,hm
户门	humen,hm
户内	hunei,hn
户奴	hunu,hn
户品	hupin,hp
户屏	huping,hp
户扇	hushan,hs
户侍	hushi,hs
户枢	hushu,hs
户枢不蠹	hushubudu,hsbd
户枢不蝼	hushubulou,hsbl
户枢不朽	hushubuxiu,hsbx
户税	hushui,hs
户说	hushuo,hs
户算	husuan,hs
户帖	hutie,ht
户贴	hutie,ht
户庭	huting,ht
户头	hutou,ht
户外	huwai,hw
户卫	huwei,hw
户尉	huwei,hw
户席	huxi,hx
户下	huxia,hx
户县	huxian,hx
户限	huxian,hx
户限为穿	huxianweichuan,hxwc
户晓	huxiao,hx
户型	huxing,hx
户穴	huxue,hx
户役	huyi,hy
户邑	huyi,hy
户牖	huyou,hy
户阈	huyu,hy
户灶	huzao,hz
户长	huzhang,hz
户帐	huzhang,hz
户者	huzhe,hz
户止	huzhi,hz
户主	huzhu,hz
