扁柏	bianbai,bb
扁榜	bianbang,bb
扁牓	bianbang,bb
扁鼻	bianbi,bb
扁扁	bian,b
扁扁伏伏	bianfu,bf
扁表	bianbiao,bb
扁仓	biancang,bc
扁乘	piancheng,pc
扁虫	bianchong,bc
扁锉	biancuo,bc
扁担	biandan,bd
扁担花	biandanhua,bdh
扁担社	biandanshe,bds
扁担舞	biandanwu,bdw
扁担星	biandanxing,bdx
扁豆	biandou,bd
扁对	biandui,bd
扁额	biane,be
扁钢	biangang,bg
扁骨	biangu,bg
扁化地	bianhuade,bhd
扁巾	bianjin,bj
扁枯	pianku,pk
扁卢	bianlu,bl
扁率	bianlu,bl
扁螺	bianluo,bl
扁毛畜生	bianmaochusheng,bmcs
扁坯	bianpi,bp
扁平	bianping,bp
扁平地	bianpingde,bpd
扁平足	bianpingzu,bpz
扁蒲秧	bianpuyang,bpy
扁锹形虫	bianqiaoxingchong,bqxc
扁青	bianqing,bq
扁鹊	bianque,bq
扁然	bianran,br
扁善	bianshan,bs
扁虱	bianshi,bs
扁食	bianshi,bs
扁刷	bianshua,bs
扁桃	biantao,bt
扁桃体	biantaoti,btt
扁桃体炎	biantaotiyan,btty
扁桃腺	biantaoxian,btx
扁桃腺炎	biantaoxianyan,btxy
扁挑	biantiao,bt
扁心	bianxin,bx
扁形动物	bianxingdongwu,bxdw
扁形动物门	pianxingdongwumen,pxdwm
扁穴	bianxue,bx
扁圆	bianyuan,by
扁针	bianzhen,bz
扁舟	pianzhou,pz
扁舟乘兴	pianzhouchengxing,pzcx
扁舟兴尽	pianzhouxingjin,pzxj
扁舟意	pianzhouyi,pzy
扁诸	bianzhu,bz
扁嘴	bianzui,bz
扁嘴海雀	bianzuihaique,bzhq
