扳本	banben,bb
扳本儿	banbener,bbe
扳驳	banbo,bb
扳不倒儿	banbudaoer,bbde
扳缠	banchan,bc
扳扯	banche,bc
扳错头	bancuotou,bct
扳倒	bandao,bd
扳道	bandao,bd
扳道岔	bandaocha,bdc
扳道员	bandaoyuan,bdy
扳动	bandong,bd
扳对	bandui,bd
扳翻	banfan,bf
扳附	banfu,bf
扳高	bangao,bg
扳害	panhai,ph
扳话	banhua,bh
扳絙	bangeng,bg
扳回	banhui,bh
扳回一城	banhuiyicheng,bhyc
扳火	banhuo,bh
扳机	banji,bj
扳跻	banji,bj
扳价	banjia,bj
扳连	banlian,bl
扳联	banlian,bl
扳留	banliu,bl
扳龙	banlong,bl
扳龙附凤	banlongfufeng,blff
扳蔓	banman,bm
扳平	banping,bp
扳牵	banqian,bq
扳钳	banqian,bq
扳亲	banqin,bq
扳手	banshou,bs
扳送	bansong,bs
扳谈	pantan,pt
扳位	banwei,bw
扳陷	banxian,bx
扳胸	banxiong,bx
扳咬	banyao,by
扳援	banyuan,by
扳缘	banyuan,by
扳缯	banzeng,bz
扳罾	banzeng,bz
扳罾法	banzengfa,bzf
扳障	banzhang,bz
扳折	banshe,bs
扳指	banzhi,bz
扳指儿	banzhier,bze
扳陟	banzhi,bz
扳庄	banzhuang,bz
扳桩相脚	banzhuangxiangjiao,bzxj
扳子	banzi,bz
