抖包袱	doubaofu,dbf
抖颤	douchan,dc
抖搐	douchu,dc
抖动	doudong,dd
抖抖瑟瑟	douse,ds
抖抖擞擞	dousou,ds
抖抖簌簌	dousu,ds
抖翻	doufan,df
抖风	doufeng,df
抖劲	doujin,dj
抖空竹	doukongzhu,dkz
抖搂	doulou,dl
抖漏	doulou,dl
抖露	doulu,dl
抖乱	douluan,dl
抖落	douluo,dl
抖毛儿	doumaoer,dme
抖内	dounei,dn
抖气	douqi,dq
抖然	douran,dr
抖瑟	douse,ds
抖闪	doushan,ds
抖神儿	doushener,dse
抖手	doushou,ds
抖摔	doushuai,ds
抖搜	dousou,ds
抖擞	dousou,ds
抖擞精神	dousoujingshen,dsjs
抖薮	dousou,ds
抖觫	dousu,ds
抖簌簌	dousu,ds
抖缩	dousuo,ds
抖索	dousuo,ds
抖威风	douweifeng,dwf
抖音	douyin,dy
抖战	douzhan,dz
