抛别	paobie,pb
抛补	paobu,pb
抛补套利	paobutaoli,pbtl
抛车	paoche,pc
抛持	paochi,pc
抛出	paochu,pc
抛除	paochu,pc
抛到一边	paodaoyibian,pdyb
抛调	paodiao,pd
抛朵	paoduo,pd
抛垛	paoduo,pd
抛趓	paoduo,pd
抛躲	paoduo,pd
抛亸	paoduo,pd
抛废	paofei,pf
抛费	paofei,pf
抛拂	paofu,pf
抛戈弃甲	paogeqijia,pgqj
抛割	paoge,pg
抛歌	paoge,pg
抛官	paoguan,pg
抛光	paoguang,pg
抛荒	paohuang,ph
抛家髻	paojiaji,pjj
抛开	paokai,pk
抛空	paokong,pk
抛离	paoli,pl
抛脸	paolian,pl
抛梁	paoliang,pl
抛露	paolu,pl
抛沦	paolun,pl
抛落	paoluo,pl
抛卖	paomai,pm
抛锚	paomao,pm
抛媚眼	paomeiyan,pmy
抛撇	paopie,pp
抛泊	paobo,pb
抛弃	paoqi,pq
抛腔	paoqiang,pq
抛青春	paoqingchun,pqc
抛毬乐	paoqiule,pql
抛球乐	paoqiule,pql
抛曲	paoqu,pq
抛却	paoque,pq
抛扔	paoreng,pr
抛撒	paosa,ps
抛洒	paosa,ps
抛散	paosan,ps
抛闪	paoshan,ps
抛舍	paoshe,ps
抛射	paoshe,ps
抛射体	paosheti,pst
抛射物	paoshewu,psw
抛生耦	paoshengou,pso
抛声	paosheng,ps
抛声调嗓	paoshengdiaosang,psds
抛声衒俏	paoshengxuanqiao,psxq
抛尸	paoshi,ps
抛石	paoshi,ps
抛售	paoshou,ps
抛数	paoshu,ps
抛体	paoti,pt
抛头露面	paotoulumian,ptlm
抛堶	paotuo,pt
抛丸	paowan,pw
抛文	paowen,pw
抛物面	paowumian,pwm
抛物面镜	paowumianjing,pwmj
抛物线	paowuxian,pwx
抛下	paoxia,px
抛下锚	paoxiamao,pxm
抛乡离井	paoxianglijing,pxlj
抛绣球	paoxiuqiu,pxq
抛漾	paoyang,py
抛盏	paozhan,pz
抛掷	paozhi,pz
抛置	paozhi,pz
抛砖	paozhuan,pz
抛砖引玉	paozhuanyinyu,pzyy
