抱案	baoan,ba
抱宝怀珍	baohuaizhen,bhz
抱抱	bao,b
抱抱团	baotuan,bt
抱抱装	baozhuang,bz
抱臂	baobi,bb
抱璧	baobi,bb
抱表寝绳	baobiaoqinsheng,bbqs
抱冰	baobing,bb
抱冰公事	baobinggongshi,bbgs
抱病	baobing,bb
抱补	baobu,bb
抱哺	baobu,bb
抱不平	baobuping,bbp
抱布	baobu,bb
抱布贸丝	baobumaosi,bbms
抱才	baocai,bc
抱材	baocai,bc
抱残守缺	baocanshouque,bcsq
抱残守阙	baocanshouque,bcsq
抱惭	baocan,bc
抱产	baochan,bc
抱成一团	baochengyituan,bcyt
抱诚守真	baochengshouzhen,bcsz
抱持	baochi,bc
抱愁	baochou,bc
抱粗腿	baocutui,bct
抱撮	baocuo,bc
抱打不平	baodabuping,bdbp
抱大腿	baodatui,bdt
抱戴	baodai,bd
抱担	baodan,bd
抱蛋	baodan,bd
抱道	baodao,bd
抱德	baode,bd
抱牒	baodie,bd
抱定	baoding,bd
抱兜	baodou,bd
抱独	baodu,bd
抱牍	baodu,bd
抱犊	baodu,bd
抱犊崮	baodugu,bdg
抱肚	baodu,bd
抱痾	baoke,bk
抱恩	baoen,be
抱儿当户	baoerdanghu,bedh
抱珥	baoer,be
抱法处势	baofachushi,bfcs
抱方	baofang,bf
抱忿	baofen,bf
抱愤	baofen,bf
抱风	baofeng,bf
抱伏	baofu,bf
抱佛脚	baofojiao,bfj
抱负	baofu,bf
抱负不凡	baofubufan,bfbf
抱腹	baofu,bf
抱告	baogao,bg
抱关	baoguan,bg
抱关击柝	baoguanjituo,bgjt
抱关执钥	baoguanzhiyue,bgzy
抱官囚	baoguanqiu,bgq
抱憾	baohan,bh
抱恨	baohen,bh
抱恨黄泉	baohenhuangquan,bhhq
抱恨终天	baohenzhongtian,bhzt
抱怀	baohuai,bh
抱火厝薪	baohuocuoxin,bhcx
抱火寝薪	baohuoqinxin,bhqx
抱火卧薪	baohuowoxin,bhwx
抱饥渴	baojike,bjk
抱鸡	baoji,bj
抱鸡婆	baojipo,bjp
抱疾	baoji,bj
抱棘	baoji,bj
抱嫁	baojia,bj
抱见礼	baojianli,bjl
抱燋	baojiao,bj
抱角床	baojiaochuang,bjc
抱脚	baojiao,bj
抱节	baojie,bj
抱节君	baojiejun,bjj
抱景	baojing,bj
抱疚	baojiu,bj
抱疴	baoke,bk
抱空窝	baokongwo,bkw
抱愧	baokui,bk
抱理	baoli,bl
抱磿	baoli,bl
抱领	baoling,bl
抱令守律	baolingshoulu,blsl
抱卵	baoluan,bl
抱锣	baoluo,bl
抱蔓摘瓜	baowanzhaigua,bwzg
抱默	baomo,bm
抱木	baomu,bm
抱弄	baonong,bn
抱琵琶	baopipa,bpp
抱癖	baopi,bp
抱魄	baopo,bp
抱璞	baopu,bp
抱璞泣血	baopuqixue,bpqx
抱朴	baopiao,bp
抱朴含真	baopuhanzhen,bphz
抱朴子	baopuzi,bpz
抱气	baoqi,bq
抱器	baoqi,bq
抱椠	baoqian,bq
抱椠怀铅	baoqianhuai,bqh
抱歉	baoqian,bq
抱歉地	baoqiande,bqd
抱歉地说	baoqiandeshuo,bqds
抱枪	baoqiang,bq
抱桥	baoqiao,bq
抱衾	baoqin,bq
抱衾裯	baoqinchou,bqc
抱屈	baoqu,bq
抱屈衔冤	baoquxianyuan,bqxy
抱拳	baoquan,bq
抱悫	baoque,bq
抱认	baoren,br
抱瑟不吹竽	baosebuchuiyu,bsbcy
抱厦	baosha,bs
抱厦厅	baoshating,bst
抱神	baoshen,bs
抱石	baoshi,bs
抱暑	baoshu,bs
抱蜀	baoshu,bs
抱树	baoshu,bs
抱摔	baoshuai,bs
抱思	baosi,bs
抱素	baosu,bs
抱同	baotong,bt
抱痛	baotong,bt
抱头	baotou,bt
抱头大哭	baotoudaku,btdk
抱头鼠蹿	baotoushucuan,btsc
抱头鼠窜	baotoushucuan,btsc
抱头痛哭	baotoutongku,bttk
抱团	baotuan,bt
抱团儿	baotuaner,bte
抱娃娃	baowa,bw
抱围	baowei,bw
抱瓮	baoweng,bw
抱瓮出灌	baowengchuguan,bwcg
抱瓮灌园	baowengguanyuan,bwgy
抱窝	baowo,bw
抱膝	baoxi,bx
抱膝吟	baoxiyin,bxy
抱香履	baoxianglu,bxl
抱薪救焚	baoxinjiufen,bxjf
抱薪救火	baoxinjiuhuo,bxjh
抱衅	baoxin,bx
抱舋	baoxin,bx
抱蓄	baoxu,bx
抱学	baoxue,bx
抱养	baoyang,by
抱恙	baoyang,by
抱腰	baoyao,by
抱腰绿	baoyaolu,byl
抱腰緑	baoyaolu,byl
抱一	baoyi,by
抱膺	baoying,by
抱影	baoying,by
抱拥	baoyong,by
抱有	baoyou,by
抱玉	baoyu,by
抱玉握珠	baoyuwozhu,bywz
抱冤	baoyuan,by
抱怨	baoyuan,by
抱怨地	baoyuande,byd
抱怨地说	baoyuandeshuo,byds
抱怨雪耻	baoyuanxuechi,byxc
抱瘵	baozhai,bz
抱着旧皇历	baozhejiuhuangli,bzjhl
抱着希望地	baozhexiwangde,bzxwd
抱真	baozhen,bz
抱枕	baozhen,bz
抱疹	baozhen,bz
抱枝拾叶	baozhishiye,bzsy
抱直	baozhi,bz
抱志	baozhi,bz
抱住葫芦不开瓢	baozhuhulubukaipiao,bzhlbkp
抱柱	baozhu,bz
抱柱对儿	baozhuduier,bzde
抱柱之信	baozhuzhixin,bzzx
抱拙	baozhuo,bz
抱子	baozi,bz
抱子弄孙	baozinongsun,bzns
抱罪	baozui,bz
