拂壁	fubi,fb
拂杓	fushao,fs
拂彻	fuche,fc
拂撤	fuche,fc
拂尘	fuchen,fc
拂臣	fuchen,fc
拂晨	fuchen,fc
拂除	fuchu,fc
拂绰	fuchuo,fc
拂黛	fudai,fd
拂旦	fudan,fd
拂翟	fuzhai,fz
拂动	fudong,fd
拂夺	fuduo,fd
拂耳	fuer,fe
拂拂	fu,f
拂拂娇	fujiao,fj
拂过	biguo,bg
拂激	fuji,fj
拂经	fujing,fj
拂戾	fuli,fl
拂庐	fulu,fl
拂乱	fuluan,fl
拂掠	fulue,fl
拂髦	fumao,fm
拂汨	fumi,fm
拂面	fumian,fm
拂明	fuming,fm
拂逆	funi,fn
拂然	furan,fr
拂扫	fusao,fs
拂士	bishi,bs
拂世	fushi,fs
拂拭	fushi,fs
拂手	fushou,fs
拂暑	fushu,fs
拂曙	fushu,fs
拂天	futian,ft
拂舞	fuwu,fw
拂悟	fuwu,fw
拂席	fuxi,fx
拂晓	fuxiao,fx
拂心	fuxin,fx
拂性	fuxing,fx
拂袖	fuxiu,fx
拂袖而归	fuxiuergui,fxeg
拂袖而去	fuxiuerqu,fxeq
拂褏	fuyou,fy
拂须	fuxu,fx
拂煦	fuxu,fx
拂衣	fuyi,fy
拂意	fuyi,fy
拂膺	fuying,fy
拂郁	fuyu,fy
拂云	fuyun,fy
拂云堆	fuyundui,fyd
拂云帚	fuyunzhou,fyz
拂云箒	fuyunzhou,fyz
拂枕席	fuzhenxi,fzx
拂帚	fuzhou,fz
拂缀	fuzhui,fz
拂子	fuzi,fz
