拔白	babai,bb
拔本	baben,bb
拔本塞原	babenseyuan,bbsy
拔本塞源	babenseyuan,bbsy
拔兵	babing,bb
拔补	babu,bb
拔不出腿	babuchutui,bbct
拔步	babu,bb
拔步床	babuchuang,bbc
拔城	bacheng,bc
拔出	bachu,bc
拔出萝卜带出泥	bachuluobodaini,bclbdn
拔除	bachu,bc
拔丛	bacong,bc
拔丛出类	bacongchulei,bccl
拔萃	bacui,bc
拔萃出类	bacuichulei,bccl
拔萃出群	bacuichuqun,bccq
拔刀相救	badaoxiangjiu,bdxj
拔刀相向	badaoxiang,bdx
拔刀相助	badaoxiangzhu,bdxz
拔地	badi,bd
拔地参天	badicantian,bdct
拔地而起	badierqi,bdeq
拔地摇山	badiyaoshan,bdys
拔地倚天	badiyitian,bdyt
拔掉	badiao,bd
拔丁抽楔	badingchouxie,bdcx
拔钉	bading,bd
拔钉锤	badingchui,bdc
拔钉钱	badingqian,bdq
拔钉子	badingzi,bdz
拔顶	bading,bd
拔碇	bading,bd
拔都	badou,bd
拔毒	badu,bd
拔度	badu,bd
拔渡	badu,bd
拔短梯	baduanti,bdt
拔队	badui,bd
拔份	bafen,bf
拔缝	bafeng,bf
拔拂	bafu,bf
拔干	bagan,bg
拔高	bagao,bg
拔根	bagen,bg
拔根汗毛比腰粗	bagenhanmaobiyaocu,bghmbyc
拔贡	bagong,bg
拔罐	baguan,bg
拔罐法	baguanfa,bgf
拔罐子	baguanzi,bgz
拔归	bagui,bg
拔锅卷席	baguojuanxi,bgjx
拔还	bahai,bh
拔海	bahai,bh
拔号	bahao,bh
拔禾	bahe,bh
拔和	bahe,bh
拔河	bahe,bh
拔虎须	bahuxu,bhx
拔扈	bahu,bh
拔篲	bahui,bh
拔火罐	bahuoguan,bhg
拔火罐儿	bahuoguaner,bhge
拔火罐子	bahuoguanzi,bhgz
拔戟成一队	bajichengyidui,bjcyd
拔济	baji,bj
拔迹	baji,bj
拔尖	bajian,bj
拔尖儿	bajianer,bje
拔简	bajian,bj
拔剑论功	bajianlungong,bjlg
拔剑相助	bajianxiangzhu,bjxz
拔脚	bajiao,bj
拔节	bajie,bj
拔节期	bajieqi,bjq
拔絜	bajie,bj
拔解	bajie,bj
拔进	bajin,bj
拔迥	bajiong,bj
拔救	bajiu,bj
拔举	baju,bj
拔拒	baju,bj
拔距	baju,bj
拔绝	bajue,bj
拔军	bajun,bj
拔俊	bajun,bj
拔儁	bajun,bj
拔葵	bakui,bk
拔葵啖枣	bakuidanzao,bkdz
拔葵去织	bakuiquzhi,bkqz
拔剌	bala,bl
拔来报往	balaifuwang,blfw
拔了萝卜地皮宽	baleluobodipikuan,bllbdpk
拔类	balei,bl
拔类超群	baleichaoqun,blcq
拔立	bali,bl
拔凉拔凉	baliang,bl
拔伦	balun,bl
拔慢步	bamanbu,bmb
拔毛	bamao,bm
拔毛济世	bamaojishi,bmjs
拔毛连茹	bamaolianru,bmlr
拔茅	bamao,bm
拔茅连茹	bamaolianru,bmlr
拔茅茹	bamaoru,bmr
拔锚	bamao,bm
拔密	bami,bm
拔苗助长	bamiaozhuzhang,bmzz
拔木	bamu,bm
拔难	banan,bn
拔蒲	bapu,bp
拔奇	baqi,bq
拔起	baqi,bq
拔搴	baqian,bq
拔亲	baqin,bq
拔取	baqu,bq
拔群	baqun,bq
拔群出萃	baqunchucui,bqcc
拔染	baran,br
拔茹	baru,br
拔摋	basha,bs
拔山	bashan,bs
拔山超海	bashanchaohai,bsch
拔山盖世	bashangaishi,bsgs
拔山举鼎	bashanjuding,bsjd
拔山军	bashanjun,bsj
拔山扛鼎	bashangangding,bsgd
拔赏	bashang,bs
拔绍	bashao,bs
拔舌地狱	bashediyu,bsdy
拔舍	bashe,bs
拔涉	bashe,bs
拔身	bashen,bs
拔十得五	bashidewu,bsdw
拔十失五	bashiwu,bsw
拔识	bashi,bs
拔士	bashi,bs
拔示巴	bashi,bs
拔授	bashou,bs
拔树撼山	bashuhanshan,bshs
拔树搜根	bashusougen,bssg
拔树削迹	bashuxiaoji,bsxj
拔树寻根	bashuxungen,bsxg
拔丝	basi,bs
拔俗	basu,bs
拔头	batou,bt
拔突	batu,bt
拔腿	batui,bt
拔脱	batuo,bt
拔犀擢象	baxizhuoxiang,bxzx
拔徙	baxi,bx
拔辖投井	baxiatoujing,bxtj
拔薤	baxie,bx
拔心草	baxincao,bxc
拔新领异	baxinlingyi,bxly
拔兴	baxing,bx
拔选	baxuan,bx
拔牙	baya,by
拔秧	bayang,by
拔意	bayi,by
拔营	baying,by
拔用	bayong,by
拔尤	bayou,by
拔宅	bazhai,bz
拔宅飞升	bazhaifeisheng,bzfs
拔宅上升	bazhaishangsheng,bzss
拔砦	bazhai,bz
拔寨	bazhai,bz
拔爪	bazhao,bz
拔赵旗	bazhaoqi,bzq
拔赵易汉	bazhaoyihan,bzyh
拔赵帜	bazhaozhi,bzz
拔赵帜立赤帜	bazhaozhilichi,bzzlc
拔赵帜易汉帜	bazhaozhiyihan,bzzyh
拔着短筹	bazheduanchou,bzdc
拔拯	bazheng,bz
拔帜	bazhi,bz
拔帜树帜	bazhishu,bzs
拔帜易帜	bazhiyi,bzy
拔滞	bazhi,bz
拔置	bazhi,bz
拔轴法	bazhoufa,bzf
拔擢	bazhuo,bz
拔足	bazu,bz
