拥抱	yongbao,yb
拥被	yongbei,yb
拥逼	yongbi,yb
拥鼻	yongbi,yb
拥鼻吟	yongbiyin,yby
拥闭	yongbi,yb
拥蔽	yongbi,yb
拥别	yongbie,yb
拥兵	yongbing,yb
拥兵自固	yongbingzigu,ybzg
拥兵自重	yongbingzizhong,ybzz
拥并	yongbing,yb
拥持	yongchi,yc
拥传	yongchuan,yc
拥簇	yongcu,yc
拥沓	yongta,yt
拥带	yongdai,yd
拥戴	yongdai,yd
拥道	yongdao,yd
拥堵	yongdu,yd
拥蹲	yongdun,yd
拥趸	yongdun,yd
拥遏	yonge,ye
拥扶	yongfu,yf
拥覆	yongfu,yf
拥盖	yonggai,yg
拥格	yongge,yg
拥隔	yongge,yg
拥灌	yongguan,yg
拥褐	yonghe,yh
拥护	yonghu,yh
拥护者	yonghuzhe,yhz
拥怀	yonghuai,yh
拥彗	yonghui,yh
拥篲	yonghui,yh
拥篲救火	yonghuijiuhuo,yhjh
拥集	yongji,yj
拥楫	yongji,yj
拥挤	yongji,yj
拥挤不堪	yongjibukan,yjbk
拥髻	yongji,yj
拥剑	yongjian,yj
拥劒	yongjian,yj
拥节	yongjie,yj
拥进	yongjin,yj
拥颈	yongjing,yj
拥拒	yongju,yj
拥据	yongju,yj
拥聚	yongju,yj
拥绝	yongjue,yj
拥军	yongjun,yj
拥军优抗	yongjunyoukang,yjyk
拥军优属	yongjunyoushu,yjys
拥离	yongli,yl
拥立	yongli,yl
拥列	yonglie,yl
拥炉	yonglu,yl
拥略	yonglue,yl
拥旄	yongmao,ym
拥衾	yongqin,yq
拥全	yongquan,yq
拥塞	yongse,ys
拥伞扇	yongsanshan,yss
拥繖扇	yongsanshan,yss
拥扇	yongshan,ys
拥舍	yongshe,ys
拥社	yongshe,ys
拥身扇	yongshenshan,yss
拥矢	yongshi,ys
拥书	yongshu,ys
拥书百城	yongshubaicheng,ysbc
拥书城	yongshucheng,ysc
拥书南面	yongshunanmian,ysnm
拥树	yongshu,ys
拥土	yongtu,yt
拥纨	yongwan,yw
拥卫	yongwei,yw
拥雾翻波	yongwufanbo,ywfb
拥膝	yongxi,yx
拥阏	yonge,ye
拥掩	yongyan,yy
拥抑	yongyi,yy
拥溢	yongyi,yy
拥有	yongyou,yy
拥有权	yongyouquan,yyq
拥右	yongyou,yy
拥佑	yongyou,yy
拥郁	yongyu,yy
拥毓	yongyu,yy
拥约	yongyue,yy
拥帐	yongzhang,yz
拥政爱民	yongzhengaimin,yzam
拥制	yongzhi,yz
拥掷	yongzhi,yz
拥滞	yongzhi,yz
拥肿	yongzhong,yz
拥尰	yongzhong,yz
拥众	yongzhong,yz
拥帚	yongzhou,yz
拥箒	yongzhou,yz
拥主	yongzhu,yz
