拾蜯	shibang,sb
拾才	shicai,sc
拾菜	shicai,sc
拾菜娘	shicainiang,scn
拾菜孃	shicairang,scr
拾尘	shichen,sc
拾陈蹈故	shichendaogu,scdg
拾翠	shicui,sc
拾翠人	shicuiren,scr
拾翠羽	shicuiyu,scy
拾带重还	shidaizhonghuan,sdzh
拾得	shide,sd
拾地芥	shidijie,sdj
拾掇	shiduo,sd
拾掇无遗	shiduowuyi,sdwy
拾夺	shiduo,sd
拾发	shifa,sf
拾翻	shifan,sf
拾骨	shigu,sg
拾荒	shihuang,sh
拾获	shihuo,sh
拾级	sheji,sj
拾级而上	shejiershang,sjes
拾集	shiji,sj
拾拣	shijian,sj
拾芥	shijie,sj
拾金不昧	shijinbumei,sjbm
拾括	shikuo,sk
拾零	shiling,sl
拾漏子	shilouzi,slz
拾栌	shilu,sl
拾没	shimei,sm
拾煤	shimei,sm
拾弄	shinong,sn
拾青	shiqing,sq
拾青紫	shiqingzi,sqz
拾取	shiqu,sq
拾趣	shiqu,sq
拾人涕唾	shirentituo,srtt
拾人唾涕	shirentuoti,srtt
拾人唾余	shirentuoyu,srty
拾人牙慧	shirenyahui,sryh
拾渖	shishen,ss
拾诵	shisong,ss
拾头	shitou,st
拾投	shitou,st
拾唾余	shituoyu,sty
拾物	shiwu,sw
拾袭	shixi,sx
拾牙慧	shiyahui,syh
拾遗	shiyi,sy
拾遗补缺	shiyibuque,sybq
拾遗补阙	shiyibuque,sybq
拾遗记	shiyiji,syj
拾音器	shiyinqi,syq
拾萤	shiying,sy
拾踊	shiyong,sy
拾余唾	shiyutuo,syt
拾摭	shizhi,sz
拾紫	shizi,sz
拾纂	shizuan,sz
