持螯把酒	chiaobajiu,cabj
持拔	chiba,cb
持把	chiba,cb
持板	chiban,cb
持抱	chibao,cb
持备	chibei,cb
持笔	chibi,cb
持辨	chibian,cb
持辩	chibian,cb
持别	chibie,cb
持兵	chibing,cb
持钵	chibo,cb
持不同政见	chibutongzhengjian,cbtzj
持不同政见者	chibutongzhengjianzhe,cbtzjz
持布鼓过雷门	chibuguguoleimen,cbgglm
持仓量	chicangliang,ccl
持操	chicao,cc
持倡	chichang,cc
持掣	chiche,cc
持迟	chi,c
持持	chi,c
持筹	chichou,cc
持筹握算	chichouwosuan,ccws
持刺	chici,cc
持刀	chidao,cd
持刀动杖	chidaodongzhang,cddz
持法	chifa,cf
持方	chifang,cf
持分	chifen,cf
持份者	chifenzhe,cfz
持扶	chifu,cf
持服	chifu,cf
持斧	chifu,cf
持斧翁	chifuweng,cfw
持复	chifu,cf
持竿	chigan,cg
持纲	chigang,cg
持戈试马	chigeshima,cgsm
持更	chigeng,cg
持公	chigong,cg
持股	chigu,cg
持股公司	chigugongsi,cggs
持管	chiguan,cg
持国天	chiguotian,cgt
持衡	chiheng,ch
持衡拥璇	chihengyongxuan,chyx
持后	chihou,ch
持虎	chihu,ch
持护	chihu,ch
持己	chiji,cj
持戟	chiji,cj
持寄	chiji,cj
持家	chijia,cj
持坚	chijian,cj
持节	chijie,cj
持戒	chijie,cj
持敬	chijing,cj
持久	chijiu,cj
持久地	chijiude,cjd
持久性毒剂	chijiuxingduji,cjxdj
持久战	chijiuzhan,cjz
持久之计	chijiuzhiji,cjzj
持酒	chijiu,cj
持钧	chijun,cj
持卡人	chikaren,ckr
持柯	chike,ck
持牢	chilao,cl
持蠡	chili,cl
持蠡测海	chilicehai,clch
持两端	chiliangduan,cld
持领	chiling,cl
持禄	chilu,cl
持禄养交	chiluyangjiao,clyj
持律	chilu,cl
持论	chilun,cl
持论公允	chilungongyun,clgy
持满	chiman,cm
持满戒盈	chimanjieying,cmjy
持念	chinian,cn
持平	chiping,cp
持平之论	chipingzhilun,cpzl
持棊	chiqi,cq
持气	chiqi,cq
持枪	chiqiang,cq
持枪抢劫	chiqiangjie,cqj
持球	chiqiu,cq
持球触地	chiqiuchude,cqcd
持权	chiquan,cq
持权合变	chiquanhebian,cqhb
持人长短	chirenchangduan,crcd
持容	chirong,cr
持丧	chisang,cs
持觞	chishang,cs
持摄	chishe,cs
持身	chishen,cs
持生	chisheng,cs
持胜	chisheng,cs
持时	chishi,cs
持世	chishi,cs
持事	chishi,cs
持势	chishi,cs
持守	chishou,cs
持书	chishu,cs
持枢	chishu,cs
持衰	chishuai,cs
持诵	chisong,cs
持素	chisu,cs
持算	chisuan,cs
持统	chitong,ct
持橐	chituo,ct
持橐簪笔	chituozanbi,ctzb
持玩	chiwan,cw
持危	chiwei,cw
持危扶颠	chiweifudian,cwfd
持位	chiwei,cw
持握	chiwo,cw
持宪	chixian,cx
持械	chixie,cx
持心	chixin,cx
持行	chixing,cx
持续	chixu,cx
持续不断	chixubuduan,cxbd
持续不断地	chixubuduande,cxbdd
持续地	chixude,cxd
持续地工作	chixudegongzuo,cxdgz
持续时间	chixushijian,cxsj
持续稳定地增长	chixuwendengdezengzhang,cxwddzz
持续性植物人状态	chixuxingzhiwurenzhuangtai,cxxzwrzt
持续性植物状态	chixuxingzhiwuzhuangtai,cxxzwzt
持学	chixue,cx
持循	chixun,cx
持掩	chiyan,cy
持养	chiyang,cy
持颐	chiyi,cy
持疑	chiyi,cy
持议	chiyi,cy
持异	chiyi,cy
持盈	chiying,cy
持盈保泰	chiyingbaotai,cybt
持盈守成	chiyingshoucheng,cysc
持用	chiyong,cy
持有	chiyou,cy
持有人	chiyouren,cyr
持载	chizai,cz
持择	chize,cz
持赠	chizeng,cz
持斋	chizhai,cz
持斋把素	chizhaibasu,czbs
持仗	chizhang,cz
持贞	chizhen,cz
持正	chizheng,cz
持正不阿	chizhengbua,czba
持政	chizheng,cz
持之以恒	chizhiyiheng,czyh
持之有故	chizhiyougu,czyg
持支	chizhi,cz
持质	chizhi,cz
持中	chizhong,cz
持重	chizhong,cz
持呪	chizhou,cz
持咒	chizhou,cz
