挟藏	jiacang,jc
挟册	jiace,jc
挟策	jiace,jc
挟筴	xiece,xc
挟持	xiechi,xc
挟持雇主	xiechiguzhu,xcgz
挟尺	jiachi,jc
挟赤	jiachi,jc
挟带	xiedai,xd
挟忿	jiafen,jf
挟辅	jiafu,jf
挟奸	jiajian,jj
挟纩	jiakuang,jk
挟令	jialing,jl
挟暮	jiamu,jm
挟挠	jianao,jn
挟日	jiari,jr
挟山	xieshan,xs
挟山超海	xieshanchaohai,xsch
挟生	jiasheng,js
挟势	xieshi,xs
挟势弄权	xieshinongquan,xsnq
挟恃	jiashi,js
挟揓	jiashi,js
挟书	jiashu,js
挟书令	jiashuling,jsl
挟书律	jiashulu,jsl
挟私	xiesi,xs
挟斯	jiasi,js
挟提	jiati,jt
挟天子以令天下	xietianziyilingxia,xtzylx
挟天子以令诸侯	xietianziyilingzhuhou,xtzylzh
挟细拿粗	xiexinacu,xxnc
挟嫌	xiexian,xx
挟嫌报复	xiexianbaofu,xxbf
挟养	jiayang,jy
挟依	jiayi,jy
挟义	jiayi,jy
挟怨	xieyuan,xy
挟赞	jiazan,jz
挟制	xiezhi,xz
挟治	jiazhi,jz
挟辀	jiazhou,jz
挟主行令	jiazhuxingling,jzxl
