捡便宜	jianpianyi,jpy
捡察	jiancha,jc
捡场	jianchang,jc
捡到篮里就是菜	jiandaolanlijiushicai,jdlljsc
捡点	jiandian,jd
捡幅	jianfu,jf
捡骨	jiangu,jg
捡核	jianhe,jh
捡荒	jianhuang,jh
捡挍	jianjiao,jj
捡局	jianju,jj
捡勘	jiankan,jk
捡看	jiankan,jk
捡括	jiankuo,jk
捡了芝麻	jianlezhima,jlzm
捡了芝麻丢了西瓜	jianlezhimadiuxigua,jlzmdxg
捡漏	jianlou,jl
捡破烂	jianpolan,jpl
捡破烂儿	jianpolaner,jple
捡起来	jianqilai,jql
捡尸	jianshi,js
捡拾	jianshi,js
捡式	jianshi,js
捡手	jianshou,js
捡校	jianxiao,jx
捡押	jianya,jy
捡洋捞	jianyanglao,jyl
捡洋落儿	jianyanglaer,jyle
捡阅	jianyue,jy
