捣把	daoba,db
捣叉子	daochazi,dcz
捣锉	daocuo,dc
捣大	daoda,dd
捣蛋	daodan,dd
捣蛋鬼	daodangui,ddg
捣动	daodong,dd
捣碓	daodui,dd
捣鼓	daogu,dg
捣鬼	daogui,dg
捣鬼地	daoguide,dgd
捣谎	daohuang,dh
捣毁	daohui,dh
捣臼	daojiu,dj
捣喇	daola,dl
捣烂	daolan,dl
捣练	daolian,dl
捣练子	daolianzi,dlz
捣乱	daoluan,dl
捣乱分子	daoluanfenzi,dlfz
捣麻烦	daomafan,dmf
捣卖	daomai,dm
捣弄	daonong,dn
捣气	daoqi,dq
捣遒	daoqiu,dq
捣嗓子	daosangzi,dsz
捣蓍	daoshi,ds
捣实	daoshi,ds
捣蒜	daosuan,ds
捣碎	daosui,ds
捣腾	daoteng,dt
捣替	daoti,dt
捣虚	daoxu,dx
捣虚批吭	daoxupihang,dxph
捣虚撇抗	daoxupiekang,dxpk
捣药	daoyao,dy
捣衣	daoyi,dy
捣衣石	daoyishi,dys
捣杂的	daozade,dzd
捣珍	daozhen,dz
捣砧	daozhen,dz
捣碪	daozhen,dz
捣治	daozhi,dz
捣装	daozhuang,dz
捣子	daozi,dz
