掉包	diaobao,db
掉臂	diaobi,db
掉臂不顾	diaobibugu,dbbg
掉膘	diaobiao,db
掉柴	diaochai,dc
掉秤	diaocheng,dc
掉蛋	diaodan,dd
掉荡	diaodang,dd
掉刀	diaodao,dd
掉点儿	diaodianer,dde
掉动	diaodong,dd
掉队	diaodui,dd
掉队地	diaoduide,ddd
掉粉	diaofen,df
掉个儿	diaogeer,dge
掉鬼	diaogui,dg
掉过	diaoguo,dg
掉过儿	diaoguoer,dge
掉花枪	diaohuaqiang,dhq
掉换	diaohuan,dh
掉谎	diaohuang,dh
掉价	diaojia,dj
掉价儿	diaojiaer,dje
掉讦	diaojie,dj
掉举	diaoju,dj
掉揽	diaolan,dl
掉泪	diaolei,dl
掉栗	diaoli,dl
掉链子	diaolianzi,dlz
掉缭	diaoliao,dl
掉落	diaoluo,dl
掉卖	diaomai,dm
掉挠	diaonao,dn
掉弄	diaonong,dn
掉皮	diaopi,dp
掉期	diaoqi,dq
掉漆	diaoqi,dq
掉枪花	diaoqianghua,dqh
掉抢	diaoqiang,dq
掉俏	diaoqiao,dq
掉磬	diaoqing,dq
掉罄	diaoqing,dq
掉球	diaoqiu,dq
掉趣	diaoqu,dq
掉三寸舌	diaosancunshe,dscs
掉色	diaose,ds
掉捎	diaoshao,ds
掉舌	diaoshe,ds
掉舌鼓唇	diaosheguchun,dsgc
掉首	diaoshou,ds
掉书袋	diaoshudai,dsd
掉书囊	diaoshunang,dsn
掉书语	diaoshuyu,dsy
掉头	diaotou,dt
掉头就走	diaotoujiuzou,dtjz
掉头鼠窜	diaotoushucuan,dtsc
掉脱	diaotuo,dt
掉歪	diaowai,dw
掉尾	diaowei,dw
掉文	diaowen,dw
掉文袋	diaowendai,dwd
掉窝	diaowo,dw
掉下	diaoxia,dx
掉线	diaoxian,dx
掉向	diaoxiang,dx
掉眩	diaoxuan,dx
掉谑	diaoxue,dx
掉眼	diaoyan,dy
掉罨子	diaoyanzi,dyz
掉鞅	diaoyang,dy
掉瀁	diaoyang,dy
掉以轻心	diaoyiqingxin,dyqx
掉羽	diaoyu,dy
掉盏子	diaozhanzi,dzz
掉转	diaozhuan,dz
