掌案	zhangan,za
掌案儿的	zhanganerde,zaed
掌把	zhangba,zb
掌班	zhangban,zb
掌鞭	zhangbian,zb
掌鞭的	zhangbiande,zbd
掌藏	zhangcang,zc
掌厨	zhangchu,zc
掌灯	zhangdeng,zd
掌典	zhangdian,zd
掌舵	zhangduo,zd
掌拊	zhangfu,zf
掌功	zhanggong,zg
掌股	zhanggu,zg
掌骨	zhanggu,zg
掌固	zhanggu,zg
掌故	zhanggu,zg
掌掴	zhangguo,zg
掌管	zhangguan,zg
掌柜	zhanggui,zg
掌柜的	zhangguide,zgd
掌锅	zhangguo,zg
掌号	zhanghao,zh
掌火	zhanghuo,zh
掌击	zhangji,zj
掌稽	zhangji,zj
掌计	zhangji,zj
掌记	zhangji,zj
掌家	zhangjia,zj
掌窌	zhangjiao,zj
掌教	zhangjiao,zj
掌节	zhangjie,zj
掌控	zhangkong,zk
掌礼	zhangli,zl
掌理	zhangli,zl
掌练	zhanglian,zl
掌领	zhangling,zl
掌纶	zhanglun,zl
掌门	zhangmen,zm
掌门人	zhangmenren,zmr
掌梦	zhangmeng,zm
掌模	zhangmo,zm
掌盘	zhangpan,zp
掌盘子	zhangpanzi,zpz
掌判	zhangpan,zp
掌平	zhangping,zp
掌权	zhangquan,zq
掌戎	zhangrong,zr
掌扇	zhangshan,zs
掌上	zhangshang,zs
掌上电脑	zhangshangdiannao,zsdn
掌上观文	zhangshangguanwen,zsgw
掌上观纹	zhangshangguanwen,zsgw
掌上明珠	zhangshangmingzhu,zsmz
掌上身	zhangshangshen,zss
掌上舞	zhangshangwu,zsw
掌上儛	zhangshangwu,zsw
掌上压	zhangshangya,zsy
掌上珍	zhangshangzhen,zsz
掌上珠	zhangshangzhu,zsz
掌勺	zhangshao,zs
掌勺儿	zhangshaoer,zse
掌舍	zhangshe,zs
掌声	zhangsheng,zs
掌声雷动	zhangshengleidong,zsld
掌事	zhangshi,zs
掌书	zhangshu,zs
掌书记	zhangshuji,zsj
掌蹄	zhangti,zt
掌统	zhangtong,zt
掌徒	zhangtu,zt
掌土	zhangtu,zt
掌文	zhangwen,zw
掌握	zhangwo,zw
掌握电脑	zhangwodiannao,zwdn
掌武	zhangwu,zw
掌玺大臣	zhangxidachen,zxdc
掌玺官	zhangxiguan,zxg
掌宪	zhangxian,zx
掌相	zhangxiang,zx
掌鞋	zhangxie,zx
掌心	zhangxin,zx
掌心雷	zhangxinlei,zxl
掌行	zhangxing,zx
掌选	zhangxuan,zx
掌眼	zhangyan,zy
掌印	zhangyin,zy
掌庾	zhangyu,zy
掌院	zhangyuan,zy
掌院学士	zhangyuanxueshi,zyxs
掌灶	zhangzao,zz
掌珍	zhangzhen,zz
掌执	zhangzhi,zz
掌中	zhangzhong,zz
掌中芥	zhangzhongjie,zzj
掌中雷	zhangzhonglei,zzl
掌中人	zhangzhongren,zzr
掌中舞	zhangzhongwu,zzw
掌中戏	zhangzhongxi,zzx
掌中珠	zhangzhongzhu,zzz
掌珠	zhangzhu,zz
掌子	zhangzi,zz
掌子面	zhangzimian,zzm
掌嘴	zhangzui,zz
