控避	kongbi,kb
控边	kongbian,kb
控辩	kongbian,kb
控辩交易	kongbianjiaoyi,kbjy
控辩协议	kongbianxieyi,kbxy
控陈	kongchen,kc
控持	kongchi,kc
控揣	kongchuai,kc
控辞	kongci,kc
控带	kongdai,kd
控地	kongdi,kd
控阨	konge,ke
控扼	konge,ke
控遏	konge,ke
控告	konggao,kg
控股	konggu,kg
控股公司	konggugongsi,kggs
控鹄	konghu,kh
控管	kongguan,kg
控规	konggui,kg
控鹤	konghe,kh
控驾	kongjia,kj
控件	kongjian,kj
控卷	kongjuan,kj
控款	kongkuan,kk
控勒	kongle,kl
控鲤	kongli,kl
控沥	kongli,kl
控连	konglian,kl
控临	konglin,kl
控拢	konglong,kl
控率	konglu,kl
控马	kongma,km
控免	kongmian,km
控名责实	kongmingzeshi,kmzs
控摄	kongshe,ks
控守	kongshou,ks
控送	kongsong,ks
控诉	kongsu,ks
控愬	kongshuo,ks
控所	kongsuo,ks
控抟	kongtuan,kt
控阋	kongxi,kx
控弦	kongxian,kx
控绁	kongxie,kx
控压	kongya,ky
控咽	kongyan,ky
控抑	kongyi,ky
控引	kongyin,ky
控于地	kongyude,kyd
控驭	kongyu,ky
控御	kongyu,ky
控制	kongzhi,kz
控制棒	kongzhibang,kzb
控制杆	kongzhigan,kzg
控制流计算机	kongzhiliujisuan,kzljs
控制论	kongzhilun,kzl
控制权	kongzhiquan,kzq
控制室	kongzhishi,kzs
控制台	kongzhitai,kzt
控制系统	kongzhixitong,kzxt
控总	kongzong,kz
控罪	kongzui,kz
