搅拌	jiaoban,jb
搅拌机	jiaobanji,jbj
搅拌器	jiaobanqi,jbq
搅棒	jiaobang,jb
搅缠	jiaochan,jc
搅肠痧	jiaochangsha,jcs
搅车	jiaoche,jc
搅刺	jiaoci,jc
搅动	jiaodong,jd
搅肚蛆肠	jiaoduquchang,jdqc
搅断	jiaoduan,jd
搅烦	jiaofan,jf
搅给	jiaogei,jg
搅聒	jiaoguo,jg
搅裹	jiaoguo,jg
搅海翻江	jiaohaifanjiang,jhfj
搅害	jiaohai,jh
搅合	jiaohe,jh
搅和	jiaohuo,jh
搅哄	jiaohong,jh
搅浑	jiaohun,jh
搅诨	jiaohun,jh
搅混	jiaogun,jg
搅基	jiaoji,jj
搅计	jiaoji,jj
搅家精	jiaojiajing,jjj
搅搅	jiao,j
搅挍	jiao,j
搅局	jiaoju,jj
搅离	jiaoli,jl
搅撩	jiaoliao,jl
搅乱	jiaoluan,jl
搅挠	jiaonao,jn
搅恼	jiaonao,jn
搅脑汁	jiaonaozhi,jnz
搅闹	jiaonao,jn
搅盆	jiaopen,jp
搅破	jiaopo,jp
搅七念三	jiaoqiniansan,jqns
搅蛆扒	jiaoquba,jqb
搅攘	jiaorang,jr
搅扰	jiaorao,jr
搅撒	jiaosa,js
搅散	jiaosan,js
搅屎棍	jiaoshigun,jsg
搅首	jiaoshou,js
搅搜	jiaosou,js
搅团	jiaotuan,jt
搅旋	jiaoxuan,jx
搅杂	jiaoza,jz
搅阵	jiaozhen,jz
搅珠机	jiaozhuji,jzj
