擦棒球	cabangqiu,cbq
擦背	cabei,cb
擦边	cabian,cb
擦边球	cabianqiu,cbq
擦擦笔	cabi,cb
擦掉	cadiao,cd
擦腚纸	cadingzhi,cdz
擦干	cagan,cg
擦黑儿	caheier,che
擦肩而过	cajianerguo,cjeg
擦亮	caliang,cl
擦亮眼睛	caliangyanjing,clyj
擦掠	calue,cl
擦抹	camo,cm
擦屁股	capigu,cpg
擦枪走火	caqiangzouhuo,cqzh
擦拳磨掌	caquanmozhang,cqmz
擦拳抹掌	caquanmozhang,cqmz
擦伤	cashang,cs
擦身而过	cashenerguo,cseg
擦拭	cashi,cs
擦丝	casi,cs
擦碗布	cawanbu,cwb
擦网球	cawangqiu,cwq
擦洗	caxi,cx
擦鞋垫	caxiedian,cxd
擦写	caxie,cx
擦音	cayin,cy
擦油	cayou,cy
擦澡	cazao,cz
擦掌磨拳	cazhangmoquan,czmq
擦脂抹粉	cazhimofen,czmf
擦撞	cazhuang,cz
擦子	cazi,cz
