故败	gubai,gb
故邦	gubang,gb
故弊	gubi,gb
故编	gubian,gb
故步	gubu,gb
故步自封	gubuzifeng,gbzf
故步自画	gubuzihua,gbzh
故操	gucao,gc
故岑	gucen,gc
故常	guchang,gc
故倡	guchang,gc
故巢	guchao,gc
故臣	guchen,gc
故称	gucheng,gc
故城	gucheng,gc
故城县	guchengxian,gcx
故程	gucheng,gc
故池	guchi,gc
故俦	guchou,gc
故畴	guchou,gc
故出人罪	guchurenzui,gcrz
故出入人罪	guchururenzui,gcrrz
故处	guchu,gc
故此	guci,gc
故道	gudao,gd
故地	gudi,gd
故地重游	gudichongyou,gdcy
故第	gudi,gd
故典	gudian,gd
故都	gudu,gd
故椟	gudu,gd
故端	guduan,gd
故恶	gue,ge
故而	guer,ge
故尔	guer,ge
故二	guer,ge
故法	gufa,gf
故犯	gufan,gf
故方	gufang,gf
故封识	gufengzhi,gfz
故夫	gufu,gf
故府	gufu,gf
故妇	gufu,gf
故公	gugong,gg
故宫	gugong,gg
故宫博物院	gugongbowuyuan,ggbwy
故宫禾黍	gugongheshu,gghs
故姑	gu,g
故故	gu,g
故关	guguan,gg
故官	guguan,gg
故鬼	gugui,gg
故贵	gugui,gg
故国	guguo,gg
故侯	guhou,gh
故侯瓜	guhougua,ghg
故欢	guhuan,gh
故籍	guji,gj
故记	guji,gj
故伎	guji,gj
故伎重演	gujichongyan,gjcy
故技	guji,gj
故技重演	gujichongyan,gjcy
故迹	guji,gj
故家	gujia,gj
故家乔木	gujiaqiaomu,gjqm
故家子弟	gujiazidi,gjzd
故剑	gujian,gj
故剑情深	gujianqingshen,gjqs
故将	gujiang,gj
故疆	gujiang,gj
故交	gujiao,gj
故徼	gujiao,gj
故井	gujing,gj
故境	gujing,gj
故旧	gujiu,gj
故旧不弃	gujiubuqi,gjbq
故居	guju,gj
故爵	gujue,gj
故君	gujun,gj
故客	guke,gk
故老	gulao,gl
故垒	gulei,gl
故里	guli,gl
故历	guli,gl
故吏	guli,gl
故例	guli,gl
故林	gulin,gl
故垄	gulong,gl
故庐	gulu,gl
故路	gulu,gl
故闾	gulu,gl
故侣	gulu,gl
故墓	gumu,gm
故年	gunian,gn
故弄虚玄	gunongxuxuan,gnxx
故弄玄虚	gunongxuanxu,gnxx
故弄玄虚地	gunongxuanxude,gnxxd
故妻	guqi,gq
故栖	guqi,gq
故蹊	guqi,gq
故器	guqi,gq
故琴	guqin,gq
故情	guqing,gq
故丘	guqiu,gq
故邱	guqiu,gq
故曲	guqu,gq
故蕖	guqu,gq
故去	guqu,gq
故券	guquan,gq
故然	guran,gr
故壤	gurang,gr
故人	guren,gr
故人之意	gurenzhiyi,grzy
故入人罪	gururenzui,grrz
故塞	gusai,gs
故杀	gusha,gs
故山	gushan,gs
故尚	gushang,gs
故甚其词	gushenqici,gsqc
故失	gushi,gs
故识	gushi,gs
故实	gushi,gs
故世	gushi,gs
故式	gushi,gs
故事	gushi,gs
故事片	gushipian,gsp
故事片儿	gushipianer,gspe
故事诗	gushi,gs
故事影片	gushiyingpian,gsyp
故书	gushu,gs
故疏	gushu,gs
故祀	gusi,gs
故薮	gusou,gs
故俗	gusu,gs
故粟	gusu,gs
故岁	gusui,gs
故态	gutai,gt
故态复还	gutaifuhuan,gtfh
故态复萌	gutaifumeng,gtfm
故态复作	gutaifuzuo,gtfz
故套	gutao,gt
故帖	gutie,gt
故土	gutu,gt
故土难离	gutunanli,gtnl
故我	guwo,gw
故我依然	guwoyiran,gwyr
故吾	guwu,gw
故物	guwu,gw
故误	guwu,gw
故习	guxi,gx
故衔	guxian,gx
故乡	guxiang,gx
故歇	guxie,gx
故榭	guxie,gx
故心	guxin,gx
故刑	guxing,gx
故行	guxing,gx
故墟	guxu,gx
故絮	guxu,gx
故训	guxun,gx
故业	guye,gy
故叶	guye,gy
故衣	guyi,gy
故义	guyi,gy
故邑	guyi,gy
故驿	guyi,gy
故意	guyi,gy
故意地	guyide,gyd
故意杀人	guyisharen,gysr
故阴	guyin,gy
故友	guyou,gy
故有	guyou,gy
故宇	guyu,gy
故语	guyu,gy
故园	guyuan,gy
故掾	guyuan,gy
故约	guyue,gy
故云	guyun,gy
故宅	guzhai,gz
故障	guzhang,gz
故障排除	guzhangpaichu,gzpc
故辙	guzhe,gz
故枝	guzhi,gz
故知	guzhi,gz
故址	guzhi,gz
故纸	guzhi,gz
故纸堆	guzhidui,gzd
故志	guzhi,gz
故秩	guzhi,gz
故智	guzhi,gz
故冢	guzhong,gz
故众	guzhong,gz
故州	guzhou,gz
故主	guzhu,gz
故自	guzi,gz
故纵	guzong,gz
故作	guzuo,gz
故作端庄	guzuoduanzhuang,gzdz
故作高深	guzuogaoshen,gzgs
故作深沉	guzuoshenchen,gzsc
故作玄虚	guzuoxuanxu,gzxx
故作姿态	guzuozitai,gzzt
