旁爱	pangai,pa
旁白	pangbai,pb
旁薄	pangbao,pb
旁备	pangbei,pb
旁边	pangbian,pb
旁边地	pangbiande,pbd
旁边儿	pangbianer,pbe
旁边人	pangbianren,pbr
旁勃	pangbo,pb
旁礴	pangbo,pb
旁参	pangcan,pc
旁侧	pangce,pc
旁岔儿	pangchaer,pce
旁畅	pangchang,pc
旁朝	pangchao,pc
旁嘲	pangchao,pc
旁车	pangche,pc
旁出	pangchu,pc
旁穿	pangchuan,pc
旁春	pangchun,pc
旁贷	pangdai,pd
旁道	pangdao,pd
旁跌	pangdie,pd
旁风	pangfeng,pf
旁孚	pangfu,pf
旁福	pangfu,pf
旁妇	pangfu,pf
旁告	panggao,pg
旁格	pangge,pg
旁谷	panggu,pg
旁顾	panggu,pg
旁观	pangguan,pg
旁观者	pangguanzhe,pgz
旁观者清	pangguanzheqing,pgzq
旁观者效应	pangguanzhexiaoying,pgzxy
旁贯	pangguan,pg
旁光	pangguang,pg
旁国	pangguo,pg
旁合	panghe,ph
旁户	panghu,ph
旁皇	panghuang,ph
旁遑	panghuang,ph
旁祸	panghuo,ph
旁击	pangji,pj
旁朞	pangji,pj
旁稽	pangji,pj
旁激	pangji,pj
旁及	pangji,pj
旁寄	pangji,pj
旁浃	pangjia,pj
旁见侧出	pangjiancechu,pjcc
旁腱肌	pangjianji,pjj
旁街	pangjie,pj
旁近	pangjin,pj
旁救	pangjiu,pj
旁聚	pangju,pj
旁郡	pangjun,pj
旁开	pangkai,pk
旁睐	panglai,pl
旁立	pangli,pl
旁吏	pangli,pl
旁戾	pangli,pl
旁邻	panglin,pl
旁流	pangliu,pl
旁路	panglu,pl
旁録	panglu,pl
旁罗	pangluo,pl
旁落	pangluo,pl
旁门	pangmen,pm
旁门歪道	pangmenwaidao,pmwd
旁门外道	pangmenwaidao,pmwd
旁门小道	pangmenxiaodao,pmxd
旁门邪道	pangmenxiedao,pmxd
旁门左道	pangmenzuodao,pmzd
旁靡	pangmi,pm
旁面	pangmian,pm
旁民	pangmin,pm
旁明	pangming,pm
旁囊	pangnang,pn
旁挠	pangnao,pn
旁睨	pangni,pn
旁孼	pangnie,pn
旁纽	pangniu,pn
旁排	pangpai,pp
旁牌	pangpai,pp
旁畔	pangpan,pp
旁旁	pang,p
旁批	pangpi,pp
旁辟	pangpi,pp
旁魄	pangpo,pp
旁妻	pangqi,pq
旁期	pangqi,pq
旁其	pangqi,pq
旁骑	pangqi,pq
旁洽	pangqia,pq
旁敲	pangqiao,pq
旁敲侧击	pangqiaoceji,pqcj
旁亲	pangqin,pq
旁求	pangqiu,pq
旁求博考	pangqiubokao,pqbk
旁求俊彦	pangqiujunyan,pqjy
旁趋	pangqu,pq
旁人	pangren,pr
旁入	pangru,pr
旁若无人	pangruowuren,prwr
旁杀	pangsha,ps
旁舍	pangshe,ps
旁射	pangshe,ps
旁生	pangsheng,ps
旁生霸	pangshengba,psb
旁生魄	pangshengpo,psp
旁省	pangsheng,ps
旁师	pangshi,ps
旁施	pangshi,ps
旁氏	pangshi,ps
旁侍	pangshi,ps
旁视	pangshi,ps
旁室	pangshi,ps
旁收	pangshou,ps
旁收博采	pangshoubocai,psbc
旁属	pangshu,ps
旁说	pangshuo,ps
旁死霸	pangsiba,psb
旁死魄	pangsipo,psp
旁讼	pangsong,ps
旁搜	pangsou,ps
旁搜博采	pangsoubocai,psbc
旁搜远绍	pangsouyuanshao,psys
旁蒐远绍	pangsouyuanshao,psys
旁唐	pangtang,pt
旁剔	pangti,pt
旁眺	pangtiao,pt
旁听	pangting,pt
旁听生	pangtingsheng,pts
旁听席	pangtingxi,ptx
旁通	pangtong,pt
旁通曲畅	pangtongquchang,ptqc
