旌褒	jingbao,jb
旌贲	jingben,jb
旌币	jingbi,jb
旌表	jingbiao,jb
旌别	jingbie,jb
旌帛	jingbo,jb
旌车	jingche,jc
旌崇	jingchong,jc
旌宠	jingchong,jc
旌大	jingda,jd
旌纛	jingdao,jd
旌德	jingde,jd
旌德县	jingdexian,jdx
旌典	jingdian,jd
旌毦	jinger,je
旌幡	jingfan,jf
旌旛	jingfan,jf
旌繁	jingfan,jf
旌盖	jinggai,jg
旌竿	jinggan,jg
旌干	jinggan,jg
旌弓	jinggong,jg
旌鼓	jinggu,jg
旌罕	jinghan,jh
旌麾	jinghui,jh
旌戟	jingji,jj
旌嘉	jingjia,jj
旌甲	jingjia,jj
旌简	jingjian,jj
旌奬	jingjiang,jj
旌节	jingjie,jj
旌节花	jingjiehua,jjh
旌捷旗	jingjieqi,jjq
旌举	jingju,jj
旌旝	jingkuai,jk
旌劳	jinglao,jl
旌旒	jingliu,jl
旌録	jinglu,jl
旌闾	jinglu,jl
旌旄	jingmao,jm
旌门	jingmen,jm
旌密	jingmi,jm
旌铭	jingming,jm
旌命	jingming,jm
旌木	jingmu,jm
旌斾	jingpei,jp
旌旆	jingpei,jp
旌蒲	jingpu,jp
旌旗	jingqi,jq
旌旗蔽日	jingqibiri,jqbr
旌旗卷舒	jingqijuanshu,jqjs
旌棨	jingqi,jq
旌劝	jingquan,jq
旌儒庙	jingrumiao,jrm
旌色	jingse,js
旌善	jingshan,js
旌赏	jingshang,js
旌尚	jingshang,js
旌祀	jingsi,js
旌帷	jingwei,jw
旌夏	jingxia,jx
旌贤	jingxian,jx
旌显	jingxian,jx
旌孝	jingxiao,jx
旌信	jingxin,jx
旌叙	jingxu,jx
旌恤	jingxu,jx
旌轩	jingxuan,jx
旌延	jingyan,jy
旌扬	jingyang,jy
旌阳	jingyang,jy
旌阳区	jingyangqu,jyq
旌阳宅	jingyangzhai,jyz
旌异	jingyi,jy
旌枻	jingyi,jy
旌栧	jingyi,jy
旌引	jingyin,jy
旌庸	jingyong,jy
旌斿	jingyou,jy
旌舆	jingyu,jy
旌旟	jingyu,jy
旌羽	jingyu,jy
旌钺	jingyue,jy
旌旃	jingzhan,jz
旌招	jingzhao,jz
旌旐	jingzhao,jz
旌甄	jingzhen,jz
旌直	jingzhi,jz
旌帜	jingzhi,jz
旌智	jingzhi,jz
旌忠	jingzhong,jz
旌擢	jingzhuo,jz
