时暗	shian,sa
时奥	shiao,sa
时报	shibao,sb
时背	shibei,sb
时辈	shibei,sb
时弊	shibi,sb
时变	shibian,sb
时表	shibiao,sb
时柄	shibing,sb
时病	shibing,sb
时不常	shibuchang,sbc
时不可失	shibuke,sbk
时不时	shibu,sb
时不时地	shibude,sbd
时不我待	shibuwodai,sbwd
时不我与	shibuwoyu,sbwy
时不再来	shibuzailai,sbzl
时才	shicai,sc
时材	shicai,sc
时菜	shicai,sc
时策	shice,sc
时差	shicha,sc
时常	shichang,sc
时常地	shichangde,scd
时朝	shichao,sc
时臣	shichen,sc
时辰	shichen,sc
时辰八字	shichenbazi,scbz
时辰牌	shichenpai,scp
时辰台	shichentai,sct
时辰未到	shichenweidao,scwd
时辰钟	shichenzhong,scz
时称	shicheng,sc
时乘	shicheng,sc
时程	shicheng,sc
时出	shichu,sc
时绌举盈	shichujuying,scjy
时绌举赢	shichujuying,scjy
时戳	shichuo,sc
时措	shicuo,sc
时大时小	shidaxiao,sdx
时代	shidai,sd
时代感	shidaigan,sdg
时代广场	shidaiguangchang,sdgc
时代华纳	shidaihuana,sdhn
时代曲	shidaiqu,sdq
时当	shidang,sd
时德	shide,sd
时帝	shidi,sd
时点	shidian,sd
时调	shidiao,sd
时栋	shidong,sd
时度	shidu,sd
时段	shiduan,sd
时段分析	shiduanfenxi,sdfx
时断时续	shiduanxu,sdx
时而	shier,se
时反	shifan,sf
时范	shifan,sf
时方	shifang,sf
时芳	shifang,sf
时分	shifen,sf
时丰	shifeng,sf
时风	shifeng,sf
时服	shifu,sf
时复	shifu,sf
时复间	shifujian,sfj
时干	shigan,sg
时隔	shige,sg
时耕	shigeng,sg
时功	shigong,sg
时贡	shigong,sg
时谷	shigu,sg
时固	shigu,sg
时乖	shiguai,sg
时乖命蹇	shiguaimingjian,sgmj
时乖运舛	shiguaiyunchuan,sgyc
时乖运乖	shiguaiyun,sgy
时乖运蹇	shiguaiyunjian,sgyj
时乖运拙	shiguaiyunzhuo,sgyz
时光	shiguang,sg
时光机	shiguangji,sgj
时轨	shigui,sg
时晷	shigui,sg
时贵	shigui,sg
时果	shiguo,sg
时过境迁	shiguojingqian,sgjq
时豪	shihao,sh
时好	shihao,sh
时好时坏	shihaohuai,shh
时耗	shihao,sh
时和	shihe,sh
时和年丰	shihenianfeng,shnf
时和岁丰	shihesuifeng,shsf
时和岁稔	shihesuiren,shsr
时亨运泰	shihengyuntai,shyt
时候	shihou,sh
时壶	shihu,sh
时花	shihua,sh
时华	shihua,sh
时化	shihua,sh
时患	shihuan,sh
时会	shihui,sh
时讳	shihui,sh
时晦	shihui,sh
时或	shihuo,sh
时货	shihuo,sh
时机	shiji,sj
时激	shiji,sj
时疾	shiji,sj
时几	shiji,sj
时计	shiji,sj
时忌	shiji,sj
时季	shiji,sj
时既	shiji,sj
时祭	shiji,sj
时家	shijia,sj
时价	shijia,sj
时稼	shijia,sj
时间	shijian,sj
时间表	shijianbiao,sjb
时间测定学	shijiancedingxue,sjcdx
时间差	shijiancha,sjc
时间戳	shijianchuo,sjc
时间地	shijiande,sjd
时间简史	shijian,sj
时间进程	shijianjincheng,sjjc
时间区间	shijianqu,sjq
时间是把杀猪刀	shijianbashazhudao,sjbszd
时间线	shijianxian,sjx
时间性	shijianxing,sjx
时间序列	shijianxulie,sjxl
时间轴	shijianzhou,sjz
时艰	shijian,sj
时蹇	shijian,sj
时见	shijian,sj
时匠	shijiang,sj
时交	shijiao,sj
时教	shijiao,sj
时节	shijie,sj
时劫	shijie,sj
时杰	shijie,sj
时进	shijin,sj
时禁	shijin,sj
时景	shijing,sj
时儆	shijing,sj
时酒	shijiu,sj
时咎	shijiu,sj
时局	shiju,sj
时菊	shiju,sj
时隽	shijun,sj
时君	shijun,sj
时俊	shijun,sj
时儁	shijun,sj
时康	shikang,sk
时刻	shike,sk
时刻表	shikebiao,skb
时刻准备	shikezhunbei,skzb
时客	shike,sk
时空	shikong,sk
时空穿梭	shikongchuansuo,skcs
时空穿越	shikongchuanyue,skcy
时空错置	shikongcuozhi,skcz
