晋安	jinan,ja
晋安区	jinanqu,jaq
晋邦	jinbang,jb
晋察冀	jinchaji,jcj
晋朝	jinchao,jc
晋城	jincheng,jc
晋城市	jinchengshi,jcs
晋祠	jinci,jc
晋代	jindai,jd
晋鼎	jinding,jd
晋封	jinfeng,jf
晋鼓	jingu,jg
晋号	jinhao,jh
晋惠帝	jinhuidi,jhd
晋惠闻蛙	jinhuiwenwa,jhww
晋级	jinji,jj
晋棘	jinji,jj
晋冀鲁豫抗日根据地	jinjiluyukangrigenjudi,jjlykrgjd
晋见	jinjian,jj
晋江	jinjiang,jj
晋江地区	jinjiangdiqu,jjdq
晋江市	jinjiangshi,jjs
晋阶	jinjie,jj
晋接	jinjie,jj
晋晋然	jinran,jr
晋京	jinjing,jj
晋剧	jinju,jj
晋爵	jinjue,jj
晋明	jinming,jm
晋年	jinnian,jn
晋宁	jinning,jn
晋宁县	jinningxian,jnx
晋绅	jinshen,js
晋升	jinsheng,js
晋盛	jinsheng,js
晋食	jinshi,js
晋授	jinshou,js
晋书	jinshu,js
晋竖	jinshu,js
晋帖	jintie,jt
晋王	jinwang,jw
晋文公	jinwengong,jwg
晋贤风	jinxianfeng,jxf
晋县	jinxian,jx
晋阳关	jinyangguan,jyg
晋阳之甲	jinyangzhijia,jyzj
晋谒	jinye,jy
晋用楚材	jinyongchucai,jycc
晋元帝	jinyuandi,jyd
晋源	jinyuan,jy
晋源区	jinyuanqu,jyq
晋职	jinzhi,jz
晋秩	jinzhi,jz
晋中	jinzhong,jz
晋中市	jinzhongshi,jzs
晋州	jinzhou,jz
晋州市	jinzhoushi,jzs
