朝霭	chaoai,ca
朝拜	chaobai,cb
朝拜圣山	chaobaishengshan,cbss
朝班	chaoban,cb
朝报	chaobao,cb
朝韠	chaobi,cb
朝弁	chaobian,cb
朝柄	chaobing,cb
朝晡	chaobu,cb
朝晡鼓	chaobugu,cbg
朝哺	chaobu,cb
朝不保暮	zhaobubaomu,zbbm
朝不保夕	zhaobubaoxi,zbbx
朝不及夕	zhaobujixi,zbjx
朝不虑夕	zhaobuluxi,zblx
朝不谋夕	zhaobumouxi,zbmx
朝部	chaobu,cb
朝餔	chaobu,cb
朝簿厅	chaobuting,cbt
朝采	chaocai,cc
朝彩	chaocai,cc
朝参	zhaocan,zc
朝骖	chaocan,cc
朝餐	chaocan,cc
朝策	chaoce,cc
朝常	chaochang,cc
朝朝	zhao,z
朝朝寒食	zhaohanshi,zhs
朝朝暮暮	zhaomu,zm
朝车	chaoche,cc
朝彻	chaoche,cc
朝臣	chaochen,cc
朝辰	chaochen,cc
朝晨	chaochen,cc
朝趁暮食	zhaochenmushi,zcms
朝成暮徧	zhaochengmubian,zcmb
朝成暮遍	zhaochengmubian,zcmb
朝成暮毁	zhaochengmuhui,zcmh
朝成夕毁	zhaochengxihui,zcxh
朝酲	chaocheng,cc
朝处	chaochu,cc
朝穿暮塞	zhaochuanmusai,zcms
朝辞	chaoci,cc
朝次	chaoci,cc
朝从	chaocong,cc
朝达	chaoda,cd
朝大夫	chaodaifu,cdf
朝代	chaodai,cd
朝带	chaodai,cd
朝旦	chaodan,cd
朝觌	chaodi,cd
朝典	chaodian,cd
朝定	chaoding,cd
朝斗	chaodou,cd
朝端	chaoduan,cd
朝恩	chaoen,ce
朝发暮至	zhaofamuzhi,zfmz
朝发夕至	zhaofaxizhi,zfxz
朝饭	chaofan,cf
朝房	chaofang,cf
朝奉	chaofeng,cf
朝服	chaofu,cf
朝黻	chaofu,cf
朝府	chaofu,cf
朝旰	chaogan,cg
朝纲	chaogang,cg
朝歌	zhaoge,zg
朝歌鼓刀	chaogegudao,cggd
朝歌暮弦	zhaogemuxian,zgmx
朝歌夜弦	zhaogeyexian,zgyx
朝歌镇	zhaogezhen,zgz
朝更暮改	zhaogengmugai,zgmg
朝宫	chaogong,cg
朝拱	chaogong,cg
朝贡	chaogong,cg
朝鼓	chaogu,cg
朝官	chaoguan,cg
朝冠	chaoguan,cg
朝光	chaoguang,cg
朝规	chaogui,cg
朝轨	chaogui,cg
朝贵	chaogui,cg
朝过夕改	zhaoguoxigai,zgxg
