杰骜	jieao,ja
杰暴	jiebao,jb
杰笔	jiebi,jb
杰表	jiebiao,jb
杰操	jiecao,jc
杰出	jiechu,jc
杰出地	jiechude,jcd
杰大	jieda,jd
杰斐逊城	jiefeixuncheng,jfxc
杰夫	jiefu,jf
杰弗逊	jiefuxun,jfx
杰佛兹	jiefozi,jfz
杰阁	jiege,jg
杰格	jiege,jg
杰构	jiegou,jg
杰观	jieguan,jg
杰猾	jiehua,jh
杰济	jieji,jj
杰迹	jieji,jj
杰杰	jie,j
杰句	jieju,jj
杰俊	jiejun,jj
杰儁	jiejun,jj
杰克	jieke,jk
杰克森	jiekesen,jks
杰克逊	jiekexun,jkx
杰客	jieke,jk
杰奎琳	jiekuilin,jkl
杰魁	jiekui,jk
杰拉	jiela,jl
杰拉德	jielade,jld
杰郎	jielang,jl
杰里科	jielike,jlk
杰里米	jielimi,jlm
杰立	jieli,jl
杰利蝾螈	jielirongyuan,jlry
杰迈	jiemai,jm
杰米	jiemi,jm
杰木	jiemu,jm
杰起	jieqi,jq
杰然	jieran,jr
杰人	jieren,jr
杰瑞	jierui,jr
杰什	jieshi,js
杰士	jieshi,js
杰士派	jieshipai,jsp
杰思	jiesi,js
杰竦	jiesong,js
杰特	jiete,jt
杰伟	jiewei,jw
杰屋	jiewu,jw
杰西	jiexi,jx
杰西卡	jiexika,jxk
杰黠	jiexia,jx
杰秀	jiexiu,jx
杰牙	jieya,jy
杰伊汉港	jieyihangang,jyhg
杰异	jieyi,jy
杰语	jieyu,jy
杰张	jiezhang,jz
杰丈夫	jiezhangfu,jzf
杰智	jiezhi,jz
杰姿	jiezi,jz
杰子	jiezi,jz
杰作	jiezuo,jz
