枫陛	fengbi,fb
枫宸	fengchen,fc
枫墀	fengchi,fc
枫鬼	fenggui,fg
枫胶	fengjiao,fj
枫锦	fengjin,fj
枫林	fenglin,fl
枫林落照	fenglinluozhao,fllz
枫瘤人	fengliuren,flr
枫柳	fengliu,fl
枫柳人	fengliuren,flr
枫落	fengluo,fl
枫落吴江	fengluowujiang,flwj
枫木	fengmu,fm
枫木人	fengmuren,fmr
枫桥	fengqiao,fq
枫桥夜泊	fengqiaoyebo,fqyb
枫人	fengren,fr
枫实	fengshi,fs
枫树	fengshu,fs
枫树菌	fengshujun,fsj
枫树苓	fengshuling,fsl
枫叟	fengsou,fs
枫糖	fengtang,ft
枫天枣地	fengtianzaodi,ftzd
枫香	fengxiang,fx
枫香木	fengxiangmu,fxm
枫香树	fengxiangshu,fxs
枫香脂	fengxiangzhi,fxz
枫叶	fengye,fy
枫脂	fengzhi,fz
枫子	fengzi,fz
枫子鬼	fengzigui,fzg
