栈板	zhanban,zb
栈箔	zhanbo,zb
栈车	zhanche,zc
栈车牝马	zhanchepinma,zcpm
栈存储器	zhancunchuqi,zccq
栈单	zhandan,zd
栈道	zhandao,zd
栈地址	zhandizhi,zdz
栈顶	zhanding,zd
栈豆	zhandou,zd
栈房	zhanfang,zf
栈阁	zhange,zg
栈谷	zhangu,zg
栈伙	zhanhuo,zh
栈货	zhanhuo,zh
栈架	zhanjia,zj
栈径	zhanjing,zj
栈驹	zhanju,zj
栈恋	zhanlian,zl
栈鹿	zhanlu,zl
栈路	zhanlu,zl
栈木	zhanmu,zm
栈桥	zhanqiao,zq
栈桥码头	zhanqiaomatou,zqmt
栈桥式码头	zhanqiaoshimatou,zqsmt
栈山	zhanshan,zs
栈山航海	zhanshanhanghai,zshh
栈师	zhanshi,zs
栈香	zhanxiang,zx
栈齴	zhanyan,zy
栈羊	zhanyang,zy
栈舆	zhanyu,zy
栈云	zhanyun,zy
栈栈	zhan,z
栈轸	zhanzhen,zz
栈钟	zhanzhong,zz
栈主	zhanzhu,zz
栈租	zhanzu,zz
