梗碍	gengai,ga
梗骜	gengao,ga
梗避	gengbi,gb
梗边	gengbian,gb
梗草	gengcao,gc
梗调	gengdiao,gd
梗断	gengduan,gd
梗夺	gengduo,gd
梗泛	gengfan,gf
梗泛萍飘	gengfanpingpiao,gfpp
梗泛萍漂	gengfanpingpiao,gfpp
梗纷	gengfen,gf
梗概	genggai,gg
梗梗	geng,g
梗悍	genghan,gh
梗河	genghe,gh
梗化	genghua,gh
梗秽	genghui,gh
梗棘	gengji,gj
梗迹蓬飘	gengjipengpiao,gjpp
梗迹萍踪	gengjipingzong,gjpz
梗介	gengjie,gj
梗沮	gengju,gj
梗拒	gengju,gj
梗绝	gengjue,gj
梗寇	gengkou,gk
梗泪	genglei,gl
梗亮	gengliang,gl
梗林	genglin,gl
梗莽	gengmang,gm
梗命	gengming,gm
梗目	gengmu,gm
梗逆	gengni,gn
梗僻	gengpi,gp
梗强	gengqiang,gq
梗切	gengqie,gq
梗犬	gengquan,gq
梗塞	gengse,gs
梗涩	gengse,gs
梗死	gengsi,gs
梗图	gengtu,gt
梗玩	gengwan,gw
梗顽	gengwan,gw
梗顽不化	gengwanbuhua,gwbh
梗王	gengwang,gw
梗险	gengxian,gx
梗崄	gengxian,gx
梗咽	gengye,gy
梗野	gengye,gy
梗议	gengyi,gy
梗壅	gengyong,gy
梗着脖子	gengzhebozi,gzbz
梗直	gengzhi,gz
梗滞	gengzhi,gz
梗子	gengzi,gz
梗阻	gengzu,gz
