横斑腹小鸮	hengbanfuxiao,hbfx
横斑林莺	hengbanlinying,hbly
横暴	hengbao,hb
横笔	hengbi,hb
横匾	hengbian,hb
横标	hengbiao,hb
横滨	hengbin,hb
横滨市	hengbinshi,hbs
横波	hengbo,hb
横步	hengbu,hb
横财	hengcai,hc
横草之功	hengcaozhigong,hczg
横陈	hengchen,hc
横冲直闯	hengchongzhichuang,hczc
横冲直撞	hengchongzhizhuang,hczz
横穿	hengchuan,hc
横吹	hengchui,hc
横从穿贯	hengcongchuanguan,hccg
横刀夺爱	hengdaoduoai,hdda
横刀揭斧	hengdaojiefu,hdjf
横刀跃马	hengdaoyuema,hdym
横倒竖卧	hengdaoshuwo,hdsw
横笛	hengdi,hd
横渡	hengdu,hd
横段山脉	hengduanshanmai,hdsm
横断	hengduan,hd
横断步道	hengduanbudao,hdbd
横断面	hengduanmian,hdm
横断山脉	hengduanshanmai,hdsm
横断物	hengduanwu,hdw
横队	hengdui,hd
横额	henge,he
横恩滥赏	hengenlanshang,hels
横发逆起	hengfaniqi,hfnq
横翻筋斗	hengfanjindou,hfjd
横飞	hengfei,hf
横峰	hengfeng,hf
横峰侧岭	hengfengceling,hfcl
横峰县	hengfengxian,hfx
横幅	hengfu,hf
横幅标语	hengfubiaoyu,hfby
横赋暴敛	hengfubaolian,hfbl
横纲	henggang,hg
横杠	henggang,hg
横戈盘马	henggepanma,hgpm
横戈跃马	henggeyuema,hgym
横隔	hengge,hg
横隔膜	henggemo,hgm
横膈	hengge,hg
横膈膜	henggemo,hgm
横亘	henggen,hg
横钩	henggou,hg
横骨	henggu,hg
横贯	hengguan,hg
横过	hengguo,hg
横过地	hengguode,hgd
横桁帆	hengfan,hf
横话	henghua,hh
横祸	henghuo,hh
横祸飞灾	henghuofeizai,hhfz
横祸非灾	henghuofeizai,hhfz
横加	hengjia,hj
横加梗阻	hengjiagengzu,hjgz
横加指责	hengjiazhize,hjzz
横见侧出	hengjiancechu,hjcc
横街	hengjie,hj
横结肠	hengjiechang,hjc
横截	hengjie,hj
横截面	hengjiemian,hjm
横截线	hengjiexian,hjx
横金拖玉	hengjintuoyu,hjty
横筋斗	hengjindou,hjd
横科暴敛	hengkebaolian,hkbl
横空	hengkong,hk
横跨	hengkua,hk
横宽地	hengkuande,hkd
横拦竖挡	henglanshudang,hlsd
横棱纹	henglengwen,hlw
横联	henglian,hl
横梁	hengliang,hl
横列	henglie,hl
横流	hengliu,hl
横路	henglu,hl
横蛮	hengman,hm
横蛮不讲理	hengmanbujiangli,hmbjl
横蛮无理	hengmanwuli,hmwl
横眉	hengmei,hm
横眉瞪目	hengmeidengmu,hmdm
横眉瞪眼	hengmeidengyan,hmdy
横眉冷对	hengmeilengdui,hmld
横眉冷对千夫指	hengmeilengduiqianfuzhi,hmldqfz
横眉冷目	hengmeilengmu,hmlm
横眉冷眼	hengmeilengyan,hmly
横眉立目	hengmeilimu,hmlm
横眉立眼	hengmeiliyan,hmly
横眉努目	hengmeinumu,hmnm
横眉怒目	hengmeinumu,hmnm
横眉怒视	hengmeinushi,hmns
横眉竖目	hengmeishumu,hmsm
横眉竖眼	hengmeishuyan,hmsy
横眉吐气	hengmeituqi,hmtq
横楣	hengmei,hm
横楣子	hengmeizi,hmz
横木	hengmu,hm
横逆	hengni,hn
横爬行	hengpaxing,hpx
横排	hengpai,hp
横批	hengpi,hp
横披	hengpi,hp
横剖面	hengpoumian,hpm
横七竖八	hengqishuba,hqsb
横枪跃马	hengqiangyuema,hqym
横抢武夺	hengqiangwuduo,hqwd
横抢硬夺	hengqiangyingduo,hqyd
横切	hengqie,hq
横切面	hengqiemian,hqm
横驱别骛	hengqubiewu,hqbw
横肉	hengrou,hr
横僿不文	hengsaibuwen,hsbw
横三竖四	hengsanshusi,hsss
横三顺四	hengsanshunsi,hsss
横扫	hengsao,hs
横扫千军	hengsaoqianjun,hsqj
横山	hengshan,hs
横山县	hengshanxian,hsx
横山乡	hengshanxiang,hsx
横神经	hengshenjing,hsj
横生	hengsheng,hs
横生枝节	hengshengzhijie,hszj
横尸	hengshi,hs
横尸遍野	hengshibianye,hsby
横失	hengyi,hy
横事	hengshi,hs
横是	hengshi,hs
横竖	hengshu,hs
横竖劲儿	hengshujiner,hsje
横说竖说	hengshuoshu,hss
横槊赋诗	hengshuofushi,hsfs
横死	hengsi,hs
横躺	hengtang,ht
横躺竖卧	hengtangshuwo,htsw
横挑鼻子竖挑眼	hengtiaobizishuyan,htbzsy
横头横脑	hengtounao,htn
横拖倒扯	hengtuodaoche,htdc
横拖倒拽	hengtuodaozhuai,htdz
横拖竖拉	hengtuoshula,htsl
横纹	hengwen,hw
横纹肌	hengwenji,hwj
横卧	hengwo,hw
横无忌惮	hengwujidan,hwjd
横县	hengxian,hx
横线	hengxian,hx
横翔捷出	hengxiangjiechu,hxjc
横向	hengxiang,hx
横向地	hengxiangde,hxd
横向联合	hengxianglianhe,hxlh
横斜	hengxie,hx
横斜地	hengxiede,hxd
横斜钩	hengxiegou,hxg
横心	hengxin,hx
横行	hengxing,hx
横行霸道	hengxingbadao,hxbd
横行不法	hengxingbufa,hxbf
横行逆施	hengxingnishi,hxns
横行天下	hengxingtianxia,hxtx
横行无忌	hengxingwuji,hxwj
横行直撞	hengxingzhizhuang,hxzz
横行直走	hengxingzhizou,hxzz
横须贺	hengxuhe,hxh
横须贺市	hengxuheshi,hxhs
横眼	hengyan,hy
横殃飞祸	hengyangfeihuo,hyfh
横摇	hengyao,hy
横议	hengyi,hy
横溢	hengyi,hy
横越	hengyue,hy
横灾飞祸	hengzaifeihuo,hzfh
横遭	hengzao,hz
横遮竖挡	hengzheshudang,hzsd
横折	hengzhe,hz
横摺	hengzhe,hz
横针竖线	hengzhenshuxian,hzsx
横振动	hengzhendong,hzd
横征暴赋	hengzhengbaofu,hzbf
横征暴敛	hengzhengbaolian,hzbl
横征苛敛	hengzhengkelian,hzkl
横征苛役	hengzhengkeyi,hzky
横正暴敛	hengzhengbaolian,hzbl
横直	hengzhi,hz
横轴	hengzhou,hz
横恣	hengzi,hz
横坐标	hengzuobiao,hzb
