欣悲	xinbei,xb
欣忭	xinbian,xb
欣抃	xinbian,xb
欣畅	xinchang,xc
欣怛	xinda,xd
欣戴	xindai,xd
欣德	xinde,xd
欣动	xindong,xd
欣逢	xinfeng,xf
欣弗	xinfu,xf
欣服	xinfu,xf
欣附	xinfu,xf
欣感	xingan,xg
欣合	xinhe,xh
欣欢	xinhuan,xh
欣懽	xinguan,xg
欣驩	xinhuan,xh
欣嘉	xinjia,xj
欣惧	xinju,xj
欣慨	xinkai,xk
欣可	xinke,xk
欣快	xinkuai,xk
欣媿	xinkui,xk
欣赖	xinlai,xl
欣乐	xinle,xl
欣恋	xinlian,xl
欣慕	xinmu,xm
欣戚	xinqi,xq
欣企	xinqi,xq
欣庆	xinqing,xq
欣劝	xinquan,xq
欣然	xinran,xr
欣然地	xinrande,xrd
欣然自得	xinranzide,xrzd
欣荣	xinrong,xr
欣赏	xinshang,xs
欣说	xinshuo,xs
欣悚	xinsong,xs
欣颂	xinsong,xs
欣叹	xintan,xt
欣慰	xinwei,xw
欣慰地笑	xinweidexiao,xwdx
欣闻	xinwen,xw
欣悉	xinxi,xx
欣喜	xinxi,xx
欣喜地	xinxide,xxd
欣喜地说	xinxideshuo,xxds
欣喜若狂	xinxiruokuang,xxrk
欣羡	xinxian,xx
欣笑	xinxiao,xx
欣忻	xin,x
欣欣	xin,x
欣欣然	xinran,xr
欣欣熙熙	xinxi,xx
欣欣向荣	xinxiangrong,xxr
欣欣自得	xinzide,xzd
欣幸	xinxing,xx
欣厌	xinyan,xy
欣艳	xinyan,xy
欣仰	xinyang,xy
欣怡	xinyi,xy
欣怿	xinyi,xy
欣愉	xinyu,xy
欣豫	xinyu,xy
欣愿	xinyuan,xy
欣悦	xinyue,xy
欣跃	xinyue,xy
欣载	xinzai,xz
欣赞	xinzan,xz
