欧安组织	ouanzuzhi,oazz
欧巴	ouba,ob
欧巴马	oubama,obm
欧巴桑	oubasang,obs
欧柏林	oubolin,obl
欧斑鸠	oubanjiu,obj
欧宝	oubao,ob
欧碧	oubi,ob
欧伯林	oubolin,obl
欧曾	ouzeng,oz
欧查果	ouchaguo,ocg
欧车前	oucheqian,ocq
欧褚	ouchu,oc
欧捶	ouchui,oc
欧打	ouda,od
欧当归	oudanggui,odg
欧刀	oudao,od
欧蝶鱼	oudieyu,ody
欧恶	oue,oe
欧分	oufen,of
欧风	oufeng,of
欧风美雨	oufengmeiyu,ofmy
欧鸽	ouge,og
欧歌	ouge,og
欧歌鸫	ougedong,ogd
欧共体	ougongti,ogt
欧诟	ougou,og
欧冠	ouguan,og
欧侯	ouhou,oh
欧化	ouhua,oh
欧击	ouji,oj
欧吉桑	oujisang,ojs
欧几里得	oujilide,ojld
欧几里德	oujilide,ojld
欧剑	oujian,oj
欧金斑鸻	oujinbanheng,ojbh
欧金翅雀	oujinchique,ojcq
欧拉	oula,ol
欧莱雅	oulaiya,oly
欧里庇得斯	oulibidesi,olbds
欧詈	ouli,ol
欧柳莺	ouliuying,oly
欧罗巴	ouluoba,olb
欧罗巴人种	ouluobarenzhong,olbrz
欧罗巴洲	ouluobazhou,olbz
欧骆	ouluo,ol
欧梅	oumei,om
欧美	oumei,om
欧美化地	oumeihuade,omhd
欧盟	oumeng,om
欧盟委员会	oumengweiyuanhui,omwyh
欧咪呀给	oumiyagei,omyg
欧米伽	oumiga,omg
欧米茄表公司	oumijiabiaogongsi,omjbgs
欧墨	oumo,om
欧母	oumu,om
欧姆	oumu,om
欧姆蛋	oumudan,omd
欧姆龙	oumulong,oml
欧纳西斯	ounaxisi,onxs
欧尼	ouni,on
欧逆	ouni,on
欧佩克	oupeike,opk
欧朋	oupeng,op
欧泊	oubo,ob
欧珀莱	oupolai,opl
欧芹	ouqin,oq
欧秦	ouqin,oq
欧攘	ourang,or
欧人	ouren,or
欧仁	ouren,or
欧若拉	ouruola,orl
欧石鸻	oushiheng,osh
欧莳萝	oushiluo,osl
欧氏	oushi,os
欧氏几何学	oushijihexue,osjhx
欧式	oushi,os
欧式几何	oushijihe,osjh
欧式几何学	oushijihexue,osjhx
欧书	oushu,os
欧苏	ousu,os
欧体	outi,ot
欧吐	outu,ot
欧脱	outuo,ot
欧文	ouwen,ow
欧文斯	ouwensi,ows
欧歍	ouwu,ow
欧西	ouxi,ox
欧泄	ouxie,ox
欧血	ouxue,ox
欧轧	ouzha,oz
欧亚	ouya,oy
欧亚大陆	ouyadalu,oydl
欧亚红尾鸲	ouyahongweiqu,oyhwq
欧亚𫛭	ouyakuang,oyk
欧亚鸲	ouyaqu,oyq
欧阳	ouyang,oy
欧阳山	ouyangshan,oys
欧阳尚书	ouyangshangshu,oyss
欧阳修	ouyangxiu,oyx
欧阳询	ouyangxun,oyx
欧阳予倩	ouyangyuqian,oyyq
欧冶	ouye,oy
欧冶剑	ouyejian,oyj
欧夜鹰	ouyeying,oyy
欧隅	ouyu,oy
欧虞	ouyu,oy
欧虞法	ouyufa,oyf
欧元	ouyuan,oy
欧元区	ouyuanqu,oyq
欧越	ouyue,oy
欧瞻	ouzhan,oz
欧杖	ouzhang,oz
欧榛	ouzhen,oz
欧洲	ouzhou,oz
欧洲安全和合作组织	ouzhouanquanhezuozuzhi,ozaqhzzz
欧洲安全与合作组织	ouzhouanquanyuhezuozuzhi,ozaqyhzzz
欧洲杯	ouzhoubei,ozb
欧洲大陆	ouzhoudalu,ozdl
欧洲电视	ouzhoudianshi,ozds
欧洲法院	ouzhoufayuan,ozfy
欧洲防风	ouzhoufangfeng,ozff
欧洲歌唱大赛	ouzhougechangdasai,ozgcds
欧洲共产主义	ouzhougongchanzhuyi,ozgczy
欧洲共同市场	ouzhougongtongshichang,ozgtsc
欧洲共同体	ouzhougongtongti,ozgtt
欧洲航天局	ouzhouhangtianju,ozhtj
欧洲核子研究中心	ouzhouheziyanjiuzhongxin,ozhzyjzx
欧洲核子中心	ouzhouhezizhongxin,ozhzzx
欧洲货币	ouzhouhuobi,ozhb
欧洲理事会	ouzhoulishihui,ozlsh
欧洲联盟	ouzhoulianmeng,ozlm
欧洲联盟条约	ouzhoulianmengtiaoyue,ozlmty
欧洲美元	ouzhoumeiyuan,ozmy
欧洲人	ouzhouren,ozr
欧洲山杨	ouzhoushanyang,ozsy
欧洲刑警组织	ouzhouxingjingzuzhi,ozxjzz
欧洲议会	ouzhouyihui,ozyh
欧洲语言	ouzhouyuyan,ozyy
欧洲原子能联营	ouzhouyuanzinenglianying,ozyznly
欧洲之星	ouzhouzhixing,ozzx
欧洲中央银行	ouzhouzhongyangyinhang,ozzyyh
欧洲自由贸易联盟	ouzhouziyoumaoyilianmeng,ozzymylm
欧猪	ouzhu,oz
