武安	wuan,wa
武安市	wuanshi,was
武把子	wubazi,wbz
武备	wubei,wb
武贲	wuben,wb
武弁	wubian,wb
武抃	wubian,wb
武柄	wubing,wb
武不善作	wubushanzuo,wbsz
武步	wubu,wb
武部	wubu,wb
武才	wucai,wc
武材	wucai,wc
武昌	wuchang,wc
武昌春柳	wuchangchunliu,wccl
武昌官柳	wuchangguanliu,wcgl
武昌柳	wuchangliu,wcl
武昌起义	wuchangqiyi,wcqy
武昌区	wuchangqu,wcq
武昌剩竹	wuchangshengzhu,wcsz
武昌鱼	wuchangyu,wcy
武场	wuchang,wc
武车	wuche,wc
武臣	wuchen,wc
武称	wucheng,wc
武成	wucheng,wc
武成王	wuchengwang,wcw
武城	wucheng,wc
武城鸡	wuchengji,wcj
武城禽	wuchengqin,wcq
武城弦	wuchengxian,wcx
武城县	wuchengxian,wcx
武城宰	wuchengzai,wcz
武冲	wuchong,wc
武丑	wuchou,wc
武川	wuchuan,wc
武川县	wuchuanxian,wcx
武达	wuda,wd
武打	wuda,wd
武打片	wudapian,wdp
武担	wudan,wd
武旦	wudan,wd
武当山	wudangshan,wds
武德	wude,wd
武德舞	wude,wd
武殿试	wudianshi,wds
武丁	wuding,wd
武定	wuding,wd
武定县	wudingxian,wdx
武都	wudu,wd
武都区	wuduqu,wdq
武都市	wudushi,wds
武斗	wudou,wd
武断	wuduan,wd
武断地	wuduande,wdd
武断地提出	wuduandetichu,wddtc
武断乡曲	wuduanxiangqu,wdxq
武断专横	wuduanzhuanheng,wdzh
武风	wufeng,wf
武蠭	wufeng,wf
武夫	wufu,wf
武符	wufu,wf
武干	wugan,wg
武榦	wugan,wg
武冈	wugang,wg
武冈市	wugangshi,wgs
武刚车	wugangche,wgc
武工	wugong,wg
武工队	wugongdui,wgd
武功	wugong,wg
武功爵	wugongjue,wgj
武功山	wugongshan,wgs
武功体	wugongti,wgt
武功县	wugongxian,wgx
武功镇	wugongzhen,wgz
武宫	wugong,wg
武关	wuguan,wg
武官	wuguan,wg
武冠	wuguan,wg
武馆	wuguan,wg
武汉	wuhan,wh
武汉大学	wuhandaxue,whdx
武汉地区	wuhandiqu,whdq
