残奥	canao,ca
残奥会	canaohui,cah
残败	canbai,cb
残薄	canbao,cb
残暴	canbao,cb
残暴不仁	canbaoburen,cbbr
残暴地	canbaode,cbd
残杯	canbei,cb
残杯冷炙	canbeilengzhi,cblz
残碑	canbei,cb
残本	canben,cb
残逼	canbi,cb
残敝	canbi,cb
残弊	canbi,cb
残编	canbian,cb
残编断简	canbianduanjian,cbdj
残编裂简	canbianliejian,cblj
残兵	canbing,cb
残兵败将	canbingbaijiang,cbbj
残病	canbing,cb
残剥	canbao,cb
残步	canbu,cb
残部	canbu,cb
残草	cancao,cc
残茶剩饭	canchashengfan,ccsf
残蝉	canchan,cc
残丑	canchou,cc
残喘	canchuan,cc
残春	canchun,cc
残次	canci,cc
残次品	cancipin,ccp
残悴	cancui,cc
残存	cancun,cc
残党	candang,cd
残荡	candang,cd
残灯	candeng,cd
残敌	candi,cd
残冬	candong,cd
残冬腊月	candonglayue,cdly
残冻	candong,cd
残毒	candu,cd
残伐	canfa,cf
残芳	canfang,cf
残匪	canfei,cf
残废	canfei,cf
残俸	canfeng,cf
残釭	cangang,cg
残膏	cangao,cg
残膏剩馥	cangaoshengfu,cgsf
残稿	cangao,cg
残羹	cangeng,cg
残羹冷饭	cangenglengfan,cglf
残羹冷炙	cangenglengzhi,cglz
残羹剩饭	cangengshengfan,cgsf
残梗地	cangengde,cgd
残更	cangeng,cg
残犷	canguang,cg
残圭断璧	canguiduanbi,cgdb
残骸	canhai,ch
残害	canhai,ch
残寒	canhan,ch
残耗	canhao,ch
残河	canhe,ch
残横	canheng,ch
残红	canhong,ch
残虹	canhong,ch
残壶	canhu,ch
残花	canhua,ch
残花败柳	canhuabailiu,chbl
残坏	canhuai,ch
残荒	canhuang,ch
残晖	canhui,ch
残毁	canhui,ch
残秽	canhui,ch
残魂	canhun,ch
残火	canhuo,ch
残货	canhuo,ch
残机	canji,cj
残疾	canji,cj
残疾车	canjiche,cjc
残疾儿	canjier,cje
残疾儿童康复中心	canjiertongkangfuzhongxin,cjetkfzx
残疾人	canjiren,cjr
残疾人活动日	canjirenhuodongri,cjrhdr
残迹	canji,cj
残角	canjiao,cj
残碣	canjie,cj
残茎	canjing,cj
残酒	canjiu,cj
残旧	canjiu,cj
残局	canju,cj
残菊	canju,cj
残卷	canjuan,cj
残军败将	canjunbaijiang,cjbj
残苛	canke,ck
残榼	canke,ck
残刻	canke,ck
残客	canke,ck
残酷	canku,ck
残酷地	cankude,ckd
残酷无情	cankuwuqing,ckwq
残溃	cankui,ck
残困	cankun,ck
残腊	canla,cl
残臈	canla,cl
残泐	canle,cl
残黎	canli,cl
残吏	canli,cl
残戾	canli,cl
残烈	canlie,cl
残零	canling,cl
残溜	canliu,cl
残留	canliu,cl
残留物	canliuwu,clw
残漏	canlou,cl
残僇	canlu,cl
残戮	canlu,cl
残露	canlu,cl
残掠	canlue,cl
残略	canlue,cl
残落	canluo,cl
残慢	canman,cm
残氓	canmeng,cm
残梅	canmei,cm
残猛	canmeng,cm
残梦	canmeng,cm
残杪	canmiao,cm
残灭	canmie,cm
残民	canmin,cm
残民害理	canminhaili,cmhl
残民害物	canminhaiwu,cmhw
残民以逞	canminyicheng,cmyc
残膜	canmo,cm
残年	cannian,cn
残年短景	cannianduanjing,cndj
残年暮景	cannianmujing,cnmj
残年余力	cannianyuli,cnyl
残念	cannian,cn
残孽	cannie,cn
残虐	cannue,cn
残葩	canpa,cp
残篇	canpian,cp
残篇断简	canpianduanjian,cpdj
残片	canpian,cp
残品	canpin,cp
残破	canpo,cp
残魄	canpo,cp
残棋	canqi,cq
残弃	canqi,cq
残戕	canqiang,cq
残秋	canqiu,cq
残躯	canqu,cq
残缺	canque,cq
残缺不全	canquebuquan,cqbq
残阙	canque,cq
残热	canre,cr
残忍	canren,cr
残忍地	canrende,crd
残日	canri,cr
残杀	cansha,cs
残杀者	canshazhe,csz
残山	canshan,cs
残山剩水	canshanshengshui,csss
残伤	canshang,cs
残烧	canshao,cs
残生	cansheng,cs
残剩	cansheng,cs
残书	canshu,cs
残暑	canshu,cs
残税	canshui,cs
残岁	cansui,cs
残损	cansun,cs
残汤剩饭	cantangshengfan,ctsf
残替	canti,ct
残蜩	cantiao,ct
残荼	cantu,ct
残脱	cantuo,ct
残亡	canwang,cw
残息	canxi,cx
残席	canxi,cx
残霞	canxia,cx
残香	canxiang,cx
残心	canxin,cx
残刑	canxing,cx
残凶	canxiong,cx
残削	canxue,cx
残雪	canxue,cx
残艳	canyan,cy
残雁	canyan,cy
残阳	canyang,cy
残夭	canyao,cy
残夜	canye,cy
残夷	canyi,cy
残佚	canyi,cy
残邑	canyi,cy
残英	canying,cy
残莺	canying,cy
残余	canyu,cy
残余地	canyude,cyd
残余物	canyuwu,cyw
残余沾染	canyuzhanran,cyzr
残馀地	canyude,cyd
残雨	canyu,cy
残垣	canyuan,cy
残垣败壁	canyuanbaibi,cybb
残垣断壁	canyuanduanbi,cydb
残月	canyue,cy
残刖	canyue,cy
残云	canyun,cy
残运会	canyunhui,cyh
残贼	canzei,cz
残渣	canzha,cz
残渣余孽	canzhayunie,czyn
残章断简	canzhangduanjian,czdj
残障	canzhang,cz
残照	canzhao,cz
残折	canshe,cs
残肢	canzhi,cz
残帙	canzhi,cz
残挚	canzhi,cz
残株	canzhu,cz
残竹	canzhu,cz
残妆	canzhuang,cz
残酌	canzhuo,cz
残滓	canzi,cz
残恣	canzi,cz
残租	canzu,cz
残醉	canzui,cz
残尊	canzun,cz
残樽	canzun,cz
