毕罢	biba,bb
毕备	bibei,bb
毕毕剥剥	bibo,bb
毕剥	bibao,bb
毕钵罗	biboluo,bbl
毕逋	bibu,bb
毕辞	bici,bc
毕达哥拉斯	bidagelasi,bdgls
毕典	bidian,bd
毕对	bidui,bd
毕尔巴鄂	bierbae,bebe
毕方	bifang,bf
毕给	bigei,bg
毕恭毕敬	bigongjing,bgj
毕辜	bigu,bg
毕扈	bihu,bh
毕婚	bihun,bh
毕婚嫁	bihunjia,bhj
毕集	biji,bj
毕加索	bijiasuo,bjs
毕见	bijian,bj
毕节	bijie,bj
毕节地区	bijiediqu,bjdq
毕节市	bijieshi,bjs
毕劫	bijie,bj
毕结	bijie,bj
毕景	bijing,bj
毕竟	bijing,bj
毕究	bijiu,bj
毕举	biju,bj
毕具	biju,bj
毕聚	biju,bj
毕卡索	bikasuo,bks
毕老	bilao,bl
毕了	bile,bl
毕力	bili,bl
毕力同心	bilitongxin,bltx
毕露	bilu,bl
毕罗	biluo,bl
毕昴	bimao,bm
毕门	bimen,bm
毕命	biming,bm
毕摩	bimo,bm
毕尼奥夫	biniaofu,bnaf
毕尼奥夫带	biniaofudai,bnafd
毕其功于一役	biqigongyuyi,bqgyy
毕气	biqi,bq
毕强	biqiang,bq
毕亲	biqin,bq
毕娶	biqu,bq
毕壤	birang,br
毕设	bishe,bs
毕身	bishen,bs
毕升	bisheng,bs
毕生	bisheng,bs
毕昇	bisheng,bs
毕时	bishi,bs
毕世	bishi,bs
毕事	bishi,bs
毕手	bishou,bs
毕宿	bisu,bs
毕宿五	bixiuwu,bxw
毕岁	bisui,bs
毕天	bitian,bt
毕瓮	biweng,bw
毕现	bixian,bx
毕肖	bixiao,bx
毕协	bixie,bx
毕星	bixing,bx
毕掩	biyan,by
毕业	biye,by
毕业典礼	biyedianli,bydl
毕业会考	biyehuikao,byhk
毕业论文	biyelunwen,bylw
毕业设计	biyesheji,bysj
毕业生	biyesheng,bys
毕业证书	biyezhengshu,byzs
毕弋	biyi,by
毕姻	biyin,by
毕雨箕风	biyujifeng,byjf
毕愿	biyuan,by
毕卓	bizhuo,bz
毕兹	bizi,bz
毕陬	bizou,bz
毕足	bizu,bz
