汤媪	tangao,ta
汤半体	tangbanti,tbt
汤包	tangbao,tb
汤包肚	tangbaodu,tbd
汤爆肚	tangbaodu,tbd
汤饼	tangbing,tb
汤饼会	tangbinghui,tbh
汤饼局	tangbingju,tbj
汤饼筵	tangbingyan,tby
汤博乐	tangbole,tbl
汤参	tangcan,tc
汤池	tangchi,tc
汤池铁城	tangchitiecheng,tctc
汤厨	tangchu,tc
汤川	tangchuan,tc
汤川秀树	tangchuanxiushu,tcxs
汤祷桑林	tangdaosanglin,tdsl
汤点	tangdian,td
汤殿	tangdian,td
汤鼎	tangding,td
汤饭	tangfan,tf
汤方	tangfang,tf
汤风	tangfeng,tf
汤夫人	tangfuren,tfr
汤谷	tanggu,tg
汤罐	tangguan,tg
汤锅	tangguo,tg
汤寒	tanghan,th
汤壶	tanghu,th
汤火	tanghuo,th
汤镬	tanghuo,th
汤剂	tangji,tj
汤加	tangjia,tj
汤加里罗	tangjialiluo,tjll
汤加群岛	tangjiaqundao,tjqd
汤脚	tangjiao,tj
汤井	tangjing,tj
汤块	tangkuai,tk
汤类	tanglei,tl
汤里来	tanglilai,tll
汤力水	tanglishui,tls
汤料	tangliao,tl
汤罗	tangluo,tl
汤面	tangmian,tm
汤茗	tangming,tm
汤姆	tangmu,tm
汤姆斯杯	tangmusibei,tmsb
汤姆孙	tangmusun,tms
汤姆索亚历险记	tangmusuoyalixianji,tmsylxj
汤姆逊	tangmuxun,tmx
汤沐	tangmu,tm
汤沐邑	tangmuyi,tmy
汤盘	tangpan,tp
汤瓢	tangpiao,tp
汤聘	tangpin,tp
汤瓶	tangping,tp
汤婆	tangpo,tp
汤婆子	tangpozi,tpz
汤普森	tangpusen,tps
汤器	tangqi,tq
汤去三面	tangqusanmian,tqsm
汤泉	tangquan,tq
汤散	tangsan,ts
汤烧火热	tangshaohuore,tshr
汤勺	tangshao,ts
汤社	tangshe,ts
汤神	tangshen,ts
汤匙	tangchi,tc
汤水	tangshui,ts
汤孙	tangsun,ts
汤炭	tangtan,tt
汤汤	shang,s
汤汤荡荡	shangdang,sd
汤汤儿	shanger,se
汤头	tangtou,tt
汤头歌	tangtouge,ttg
汤头歌诀	tangtougejue,ttgj
汤团	tangtuan,tt
汤碗	tangwan,tw
汤网	tangwang,tw
汤旺河	tangwanghe,twh
汤旺河区	tangwanghequ,twhq
汤武	tangwu,tw
汤武革命	tangwugeming,twgm
汤显祖	tangxianzu,txz
汤刑	tangxing,tx
汤雪	tangxue,tx
汤羊	tangyang,ty
汤药	tangyao,ty
汤液	tangye,ty
汤邑	tangyi,ty
汤阴	tangyin,ty
汤阴县	tangyinxian,tyx
汤引	tangyin,ty
汤禹	tangyu,ty
汤玉	tangyu,ty
汤玉麟	tangyulin,tyl
汤浴	tangyu,ty
汤元	tangyuan,ty
汤原	tangyuan,ty
汤原县	tangyuanxian,tyx
汤圆	tangyuan,ty
汤熨	tangyun,ty
汤盏	tangzhan,tz
汤汁	tangzhi,tz
汤种	tangzhong,tz
汤粥	tangzhou,tz
汤猪	tangzhu,tz
汤主	tangzhu,tz
