浑奥	hunao,ha
浑备	hunbei,hb
浑拨四	hunbosi,hbs
浑博	hunbo,hb
浑不比	hunbubi,hbb
浑不是	hunbushi,hbs
浑不似	hunbusi,hbs
浑成	huncheng,hc
浑虫	hunchong,hc
浑捶自扑	hunchuizipu,hczp
浑捶自武	hunchuiziwu,hczw
浑纯	hunchun,hc
浑粹	huncui,hc
浑大	hunda,hd
浑蛋	hundan,hd
浑塠自扑	hunduizipu,hdzp
浑敦	hundun,hd
浑敦氏	hundunshi,hds
浑沌	hundun,hd
浑沌氏	hundunshi,hds
浑噩	hune,he
浑盖	hungai,hg
浑个	hunge,hg
浑古	hungu,hg
浑骨丫髻	hunguyaji,hgyj
浑倌	hunguan,hg
浑含	hunhan,hh
浑涵	hunhan,hh
浑汗如雨	hunhanruyu,hhry
浑号	hunhao,hh
浑浩	hunhao,hh
浑灏	hunhao,hh
浑合	hunhe,hh
浑河	hunhe,hh
浑洪	hunhong,hh
浑厚	hunhou,hh
浑花	hunhua,hh
浑化	hunhua,hh
浑话	hunhua,hh
浑圜	hunhuan,hh
浑黄	hunhuang,hh
浑浑	hun,h
浑浑沉沉	hunshenchen,hsc
浑浑沌沌	hundun,hd
浑浑噩噩	hune,he
浑浑蒙蒙	hunmeng,hm
浑浑泡泡	hunpao,hp
浑混	hun,h
浑家	hunjia,hj
浑金白玉	hunjinbaiyu,hjby
浑金璞玉	hunjinpuyu,hjpy
浑括	hunkuo,hk
浑楞	hunleng,hl
浑愣	hunleng,hl
浑乱	hunluan,hl
浑抡吞枣	hunluntunzao,hltz
浑仑	hunlun,hl
浑沦	hunlun,hl
浑沦吞枣	hunluntunzao,hltz
浑漫	hunman,hm
浑芒	hunmang,hm
浑茫	hunmang,hm
浑蒙	hunmeng,hm
浑沕	hunmi,hm
浑名	hunming,hm
浑冥	hunming,hm
浑穆	hunmu,hm
浑凝	hunning,hn
浑璞	hunpu,hp
浑朴	hunpiao,hp
浑齐	hunqi,hq
浑球	hunqiu,hq
浑球儿	hunqiuer,hqe
浑全	hunquan,hq
浑然	hunran,hr
浑然不觉	hunranbujue,hrbj
浑然不知	hunranbuzhi,hrbz
浑然天成	hunrantiancheng,hrtc
浑然无知	hunranwuzhi,hrwz
浑然一体	hunranyiti,hryt
浑然自成	hunranzicheng,hrzc
浑人	hunren,hr
浑融	hunrong,hr
浑如	hunru,hr
浑舍	hunshe,hs
浑身	hunshen,hs
浑身解数	hunshenxieshu,hsxs
浑身冒汗	hunshenmaohan,hsmh
浑身上下	hunshenshangxia,hssx
浑身是胆	hunshenshidan,hssd
浑深	hunshen,hs
浑实	hunshi,hs
浑水	hunshui,hs
浑水摸鱼	hunshuimoyu,hsmy
浑说	hunshuo,hs
浑似	hunsi,hs
浑俗和光	hunsuheguang,hshg
浑素	hunsu,hs
浑天	huntian,ht
浑天家	huntianjie,htj
浑天说	huntianshuo,hts
浑天体	huntianti,htt
浑天仪	huntianyi,hty
浑铁	huntie,ht
浑同	huntong,ht
浑头浑脑	huntounao,htn
浑屯	huntun,ht
浑脱	huntuo,ht
浑脱囊	huntuonang,htn
浑闲事	hunxianshi,hxs
浑象	hunxiang,hx
浑淆	hunxiao,hx
浑殽	hunyao,hy
浑小子	hunxiaozi,hxz
浑雄	hunxiong,hx
浑雅	hunya,hy
浑言	hunyan,hy
浑一	hunyi,hy
浑一似	hunyisi,hys
浑壹	hunyi,hy
浑仪	hunyi,hy
浑仪注	hunyizhu,hyz
浑庾	hunyu,hy
浑窳	hunyu,hy
浑元	hunyuan,hy
浑圆	hunyuan,hy
浑圆球	hunyuanqiu,hyq
浑源	hunyuan,hy
浑源县	hunyuanxian,hyx
浑杂	hunza,hz
浑帐	hunzhang,hz
浑质	hunzhi,hz
浑浊	hunzhuo,hz
浑浊地	hunzhuode,hzd
