浴霸	yuba,yb
浴湢	yubi,yb
浴波	yubo,yb
浴蚕	yucan,yc
浴场	yuchang,yc
浴池	yuchi,yc
浴德	yude,yd
浴殿	yudian,yd
浴佛	yufo,yf
浴佛会	yufohui,yfh
浴佛节	yufojie,yfj
浴佛日	yufori,yfr
浴佛水	yufoshui,yfs
浴缸	yugang,yg
浴柜	yugui,yg
浴锅	yuguo,yg
浴斛	yuhu,yh
浴花	yuhua,yh
浴浣	yuhuan,yh
浴火重生	yuhuochongsheng,yhcs
浴巾	yujin,yj
浴具	yuju,yj
浴兰	yulan,yl
浴兰令节	yulanlingjie,yllj
浴兰汤	yulantang,ylt
浴帘	yulian,yl
浴疗	yuliao,yl
浴帽	yumao,ym
浴沐	yumu,ym
浴盘	yupan,yp
浴袍	yupao,yp
浴盆	yupen,yp
浴禽	yuqin,yq
浴球	yuqiu,yq
浴日	yuri,yr
浴神	yushen,ys
浴室	yushi,ys
浴水	yushui,ys
浴肆	yusi,ys
浴汤	yutang,yt
浴堂	yutang,yt
浴铁	yutie,yt
浴童	yutong,yt
浴桶	yutong,yt
浴头	yutou,yt
浴洗	yuxi,yx
浴血	yuxue,yx
浴血奋战	yuxuefenzhan,yxfz
浴血苦战	yuxuekuzhan,yxkz
浴盐	yuyan,yy
浴液	yuye,yy
浴衣	yuyi,yy
浴沂	yuyi,yy
浴院	yuyuan,yy
浴罩	yuzhao,yz
浴主	yuzhu,yz
