浸包	jinbao,jb
浸槽	jincao,jc
浸沉	jinchen,jc
浸出	jinchu,jc
浸淬	jincui,jc
浸荡	jindang,jd
浸蠹	jindu,jd
浸溉	jingai,jg
浸灌	jinguan,jg
浸害	jinhai,jh
浸涵	jinhan,jh
浸化	jinhua,jh
浸灰	jinhui,jh
浸剂	jinji,jj
浸假	jinjia,jj
浸渐	jinjian,jj
浸浸	jin,j
浸礼	jinli,jl
浸礼会	jinlihui,jlh
浸礼教	jinlijiao,jlj
浸潦	jinliao,jl
浸廪	jinlin,jl
浸凌	jinling,jl
浸令	jinling,jl
浸溜	jinliu,jl
浸漉	jinlu,jl
浸漫	jinman,jm
浸没	jinmo,jm
浸溺	jinni,jn
浸泡	jinpao,jp
浸洽	jinqia,jq
浸取	jinqu,jq
浸染	jinran,jr
浸濡	jinru,jr
浸入	jinru,jr
浸润	jinrun,jr
浸润之谮	jinrunzhizen,jrzz
浸湿	jinshi,js
浸蚀	jinshi,js
浸使	jinshi,js
浸水	jinshui,js
浸潭	jintan,jt
浸提	jinti,jt
浸透	jintou,jt
浸洗	jinxi,jx
浸想	jinxiang,jx
浸信会	jinxinhui,jxh
浸行	jinxing,jx
浸熏	jinxun,jx
浸寻	jinxun,jx
浸浔	jinxun,jx
浸益	jinyi,jy
浸溢	jinyi,jy
浸淫	jinyin,jy
浸渔	jinyu,jy
浸育	jinyu,jy
浸浴	jinyu,jy
浸毓	jinyu,jy
浸渊	jinyuan,jy
浸泽	jinze,jz
浸种	jinzhong,jz
浸猪笼	jinzhulong,jzl
浸渍	jinzi,jz
