涣弛	huanchi,hc
涣尔冰开	huanerbingkai,hebk
涣发	huanfa,hf
涣发大号	huanfadahao,hfdh
涣汗	huanhan,hh
涣汗大号	huanhandahao,hhdh
涣号	huanhao,hh
涣涣	huan,h
涣解	huanjie,hj
涣烂	huanlan,hl
涣离	huanli,hl
涣鳞	huanlin,hl
涣落	huanluo,hl
涣漫	huanman,hm
涣靡	huanmi,hm
涣灭	huanmie,hm
涣命	huanming,hm
涣泮	huanpan,hp
涣然	huanran,hr
涣然冰释	huanranbingshi,hrbs
涣如冰释	huanrubingshi,hrbs
涣若冰释	huanruobingshi,hrbs
涣若冰消	huanruobingxiao,hrbx
涣散	huansan,hs
涣释	huanshi,hs
涣渥	huanwo,hw
涣衍	huanyan,hy
涣扬	huanyang,hy
涣泽	huanze,hz
涣彰	huanzhang,hz
涣诏	huanzhao,hz
