淮安	huaian,ha
淮安市	huaianshi,has
淮白	huaibai,hb
淮北	huaibei,hb
淮北市	huaibeishi,hbs
淮滨	huaibin,hb
淮滨县	huaibinxian,hbx
淮甸	huaidian,hd
淮渎	huaidu,hd
淮濆	huaipen,hp
淮服	huaifu,hf
淮海	huaihai,hh
淮海地区	huaihaidiqu,hhdq
淮海戏	huaihaixi,hhx
淮海战役	huaihaizhanyi,hhzy
淮河	huaihe,hh
淮橘为枳	huaijuweizhi,hjwz
淮剧	huaiju,hj
淮南	huainan,hn
淮南八公	huainanbagong,hnbg
淮南法	huainanfa,hnf
淮南方	huainanfang,hnf
淮南鸡犬	huainanjiquan,hnjq
淮南市	huainanshi,hns
淮南术	huainanshu,hns
淮南体	huainanti,hnt
淮南王	huainanwang,hnw
淮南小山	huainanxiaoshan,hnxs
淮南子	huainanzi,hnz
淮圻	huaiqi,hq
淮汭	huairui,hr
淮山	huaishan,hs
淮上	huaishang,hs
淮上区	huaishangqu,hsq
淮王	huaiwang,hw
淮王鸡狗	huaiwangjigou,hwjg
淮王术	huaiwangshu,hws
淮涡神	huaiwoshen,hws
淮乡	huaixiang,hx
淮阳	huaiyang,hy
淮阳病	huaiyangbing,hyb
淮阳多病	huaiyangduobing,hydb
淮阳绩	huaiyangji,hyj
淮阳县	huaiyangxian,hyx
淮夷	huaiyi,hy
淮阴	huaiyin,hy
淮阴地区	huaiyindiqu,hydq
淮阴平楚	huaiyinpingchu,hypc
淮阴区	huaiyinqu,hyq
淮阴行	huaiyinxing,hyx
淮雨	huaiyu,hy
淮左	huaizuo,hz
