灰埃	huiai,ha
灰暗	huian,ha
灰白	huibai,hb
灰白喉林莺	huibaihoulinying,hbhly
灰白色	huibaise,hbs
灰败	huibai,hb
灰斑鸻	huibanheng,hbh
灰斑鸠	huibanjiu,hbj
灰斑鹟	huibanweng,hbw
灰瓣蹼鹬	huibanpuyu,hbpy
灰背伯劳	huibeibolao,hbbl
灰背鸫	huibeidong,hbd
灰背椋鸟	huibeiliangniao,hbln
灰背鸥	huibeiou,hbo
灰背隼	huibeisun,hbs
灰背燕尾	huibeiyanwei,hbyw
灰笔	huibi,hb
灰熛	huibiao,hb
灰伯劳	huibolao,hbl
灰不答	huibuda,hbd
灰不济	huibuji,hbj
灰不喇唧	huibulaji,hblj
灰不溜	huibuliu,hbl
灰不溜丢	huibuliudiu,hbld
灰不溜秋	huibuliuqiu,hblq
灰布	huibu,hb
灰菜	huicai,hc
灰惨	huican,hc
灰惨惨	huican,hc
灰黪	huican,hc
灰槽子	huicaozi,hcz
灰尘	huichen,hc
灰沉	huichen,hc
灰沉沉	huichen,hc
灰榇	huichen,hc
灰儭	huichen,hc
灰赤杨	huichiyang,hcy
灰翅鸫	huichidong,hcd
灰翅鸥	huichiou,hco
灰翅噪鹛	huichizaomei,hczm
灰除	huichu,hc
灰吹	huichui,hc
灰簇簇	huicu,hc
灰蜨	huidie,hd
灰蝶	huidie,hd
灰钉	huiding,hd
灰动	huidong,hd
灰洞洞	huidong,hd
灰度	huidu,hd
灰短脚鹎	huiduanjiaobei,hdjb
灰飞冲素	huifeichongsu,hfcs
灰飞烟灭	huifeiyanmie,hfym
灰分	huifen,hf
灰焚	huifen,hf
灰粉	huifen,hf
灰粪	huifen,hf
灰腹地莺	huifudiying,hfdy
灰腹角雉	huifujiaozhi,hfjz
灰腹绣眼鸟	huifuxiuyanniao,hfxyn
灰腹噪鹛	huifuzaomei,hfzm
灰槁	huigao,hg
灰鬲	huige,hg
灰垢	huigou,hg
灰姑娘	huiguniang,hgn
灰菰	huigu,hg
灰骨	huigu,hg
灰冠鹟莺	huiguanwengying,hgwy
灰冠鸦雀	huiguanyaque,hgyq
灰管	huiguan,hg
灰礶	huiguan,hg
灰罐	huiguan,hg
灰鹤	huihe,hh
灰黑	huihei,hh
灰喉柳莺	huihouliuying,hhly
灰喉山椒鸟	huihoushanjiaoniao,hhsjn
灰喉鸦雀	huihouyaque,hhyq
灰喉针尾雨燕	huihouzhenweiyuyan,hhzwyy
灰鹱	huihu,hh
灰化	huihua,hh
灰黄地	huihuangde,hhd
灰黄色地	huihuangsede,hhsd
灰灰地	huide,hd
灰火	huihuo,hh
灰货	huihuo,hh
灰鹡鸰	huijiling,hjl
灰寂	huiji,hj
灰浆	huijiang,hj
灰脚柳莺	huijiaoliuying,hjly
灰劫	huijie,hj
灰烬	huijin,hj
灰颈鹀	huijingwu,hjw
灰酒	huijiu,hj
灰卷尾	huijuanwei,hjw
灰坑	huikeng,hk
灰孔雀雉	huikongquezhi,hkqz
灰眶雀鹛	huikuangquemei,hkqm
灰蓝姬鹟	huilanjiweng,hljw
灰蓝山雀	huilanshanque,hlsq
灰烂	huilan,hl
灰冷	huileng,hl
灰脸𫛭鹰	huiliankuangying,hlky
灰脸鹟莺	huilianwengying,hlwy
灰椋鸟	huiliangniao,hln
灰猎犬	huiliequan,hlq
灰林鸽	huilinge,hlg
灰林鸮	huilinxiao,hlx
灰林䳭	huilinji,hlj
灰领	huiling,hl
灰溜溜	huiliu,hl
灰溜溜地	huiliude,hld
灰溜溜地跑了	huiliudepaole,hldpl
灰柳莺	huiliuying,hly
灰炉	huilu,hl
灰僇	huilu,hl
灰戮	huilu,hl
灰律	huilu,hl
灰霾	huimai,hm
