炊饼	chuibing,cb
炊爨	chuicuan,cc
炊雕	chuidiao,cd
炊饭	chuifan,cf
炊妇	chuifu,cf
炊骨	chuigu,cg
炊桂	chuigui,cg
炊骸	chuihai,ch
炊火	chuihuo,ch
炊家子	chuijiazi,cjz
炊金馔玉	chuijinzhuanyu,cjzy
炊烬	chuijin,cj
炊臼	chuijiu,cj
炊臼之戚	chuijiuzhiqi,cjzq
炊臼之痛	chuijiuzhitong,cjzt
炊具	chuiju,cj
炊累	chuilei,cl
炊粱跨卫	chuiliangkuawei,clkw
炊米	chuimi,cm
炊器	chuiqi,cq
炊琼爇桂	chuiqiongruogui,cqrg
炊人	chuiren,cr
炊沙成饭	chuishachengfan,cscf
炊沙镂冰	chuishaloubing,cslb
炊沙作饭	chuishazuofan,cszf
炊沙作糜	chuishazuomi,cszm
炊砂作饭	chuishazuofan,cszf
炊食	chuishi,cs
炊事	chuishi,cs
炊事班	chuishiban,csb
炊事员	chuishiyuan,csy
炊熟	chuishu,cs
炊鲜漉清	chuixianluqing,cxlq
炊烟	chuiyan,cy
炊养	chuiyang,cy
炊玉	chuiyu,cy
炊甑	chuizeng,cz
炊烝	chuizheng,cz
炊帚	chuizhou,cz
炊箒	chuizhou,cz
炊煮	chuizhu,cz
炊灼	chuizhuo,cz
炊子	chuizi,cz
