烝熬	zhengao,za
烝报	zhengbao,zb
烝尝	zhengchang,zc
烝炊	zhengchui,zc
烝餻	zhenggao,zg
烝胡卢	zhenghulu,zhl
烝壶	zhenghu,zh
烝皇	zhenghuang,zh
烝会	zhenghui,zh
烝衎	zhengkan,zk
烝黎	zhengli,zl
烝粮	zhengliang,zl
烝乱	zhengluan,zl
烝民	zhengmin,zm
烝热	zhengre,zr
烝人	zhengren,zr
烝濡	zhengru,zr
烝润	zhengrun,zr
烝涉	zhengshe,zs
烝弑	zhengshi,zs
烝暑	zhengshu,zs
烝庶	zhengshu,zs
烝徒	zhengtu,zt
烝豚	zhengtun,zt
烝享	zhengxiang,zx
烝泄	zhengxie,zx
烝薪	zhengxin,zx
烝夷	zhengyi,zy
烝彝	zhengyi,zy
烝淫	zhengyin,zy
烝礿	zhengyue,zy
烝云	zhengyun,zy
烝罩	zhengzhao,zz
烝烝	zheng,z
烝烛	zhengzhu,zz
