煞白	shabai,sb
煞笔	shabi,sb
煞不如	shaburu,sbr
煞场	shachang,sc
煞车	shache,sc
煞到	shadao,sd
煞费苦心	shafeikuxin,sfkx
煞费心机	shafeixinji,sfxj
煞风景	shafengjing,sfj
煞风景地	shafengjingde,sfjd
煞鬼	shagui,sg
煞果	shaguo,sg
煞耗	shahao,sh
煞黑	shahei,sh
煞后	shahou,sh
煞回	shahui,sh
煞火	shahuo,sh
煞癞	shalai,sl
煞落	shaluo,sl
煞年	shanian,sn
煞拍	shapai,sp
煞气	shaqi,sq
煞气腾腾	shaqiteng,sqt
煞强如	shaqiangru,sqr
煞强似	shaqiangsi,sqs
煞认	sharen,sr
煞神	shashen,ss
煞绳	shasheng,ss
煞时间	shashijian,ssj
煞实	shashi,ss
煞是	shashi,ss
煞手锏	shashoujian,ssj
煞水	shashui,ss
煞台	shatai,st
煞尾	shawei,sw
煞星	shaxing,sx
煞性	shaxing,sx
煞性子	shaxingzi,sxz
煞痒	shayang,sy
煞有	shayou,sy
煞有介事	shayoujieshi,syjs
煞有其事	shayouqishi,syqs
煞帐	shazhang,sz
煞账	shazhang,sz
煞住	shazhu,sz
