爬虫	pachong,pc
爬虫动物	pachongdongwu,pcdw
爬虫类	pachonglei,pcl
爬蹉	pacuo,pc
爬蛋	padan,pd
爬耳搔腮	paersaosai,pess
爬伏	pafu,pf
爬竿	pagan,pg
爬格子	pagezi,pgz
爬灰	pahui,ph
爬拉	pala,pl
爬犁	pali,pl
爬罗	paluo,pl
爬罗剔抉	paluotijue,pltj
爬坡	papo,pp
爬墙	paqiang,pq
爬挲	pasuo,ps
爬搔	pasao,ps
爬沙	pasha,ps
爬山	pashan,ps
爬山虎	pashanhu,psh
爬山涉水	pashansheshui,psss
爬上	pashang,ps
爬升	pasheng,ps
爬梳	pashu,ps
爬梳剔抉	pashutijue,pstj
爬梳洗剔	pashuxiti,psxt
爬疏	pashu,ps
爬剔	pati,pt
爬窝	pawo,pw
爬虾	paxia,px
爬行	paxing,px
爬行动物	paxingdongwu,pxdw
爬行类	paxinglei,pxl
爬蜒	payan,py
爬泳	payong,py
爬栉	pazhi,pz
